,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,target_actual,fp
3340,3340,CHEMBL1079590,3.72,CC(C)Cn1cnc(c2ccccc2)c1c3nc4c(N)ncnc4s3,1,1,[0 1 0 ... 0 0 0]
3238,3238,CHEMBL2059378,1.65,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C4=NNC(=O)O4)n5ccc(n5)C(F)(F)F,1,1,[0 0 0 ... 0 0 0]
1272,1272,CHEMBL256348,2.7,NS(=O)(=O)c1ccc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)cc1,1,1,[0 0 0 ... 0 0 0]
2142,2142,CHEMBL107955,1.67,CCOC(=O)N1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3c(cc(cc3C(C)C)C(C)C)C(C)C,1,1,[0 1 0 ... 1 0 0]
2175,2175,CHEMBL2326478,3.3,Nc1nc2cc3CCN(Cc4cccc(F)c4)CCc3cc2s1,1,1,[0 0 0 ... 0 0 0]
4034,4034,CHEMBL262721,2.26,COc1cc(OC2CCN(C)CC2)c3c(Nc4cccc5OCCOc45)ncnc3c1,1,1,[0 0 0 ... 0 0 0]
866,866,CHEMBL2164744,0.77,COc1ccc2N=CC(=O)N(CCN3CC[C@H](NCc4cc5OCCOc5cn4)[C@H](O)C3)c2c1,1,1,[0 0 0 ... 0 0 0]
130,130,CHEMBL2171046,1.52,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl,1,1,[0 0 0 ... 0 0 0]
3826,3826,CHEMBL1689135,1.66,C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1C(=O)Cc3ccc(Cl)cc3,1,1,[0 0 0 ... 0 0 0]
1721,1721,CHEMBL170984,1.83,COc1cc2c(Nc3c(Cl)ccc4OCOc34)ncnc2cc1OCC5CCN(C)CC5,1,1,[0 0 0 ... 0 0 0]
607,607,CHEMBL378730,1.27,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(Cl)cccc34,1,1,[0 0 0 ... 0 0 0]
1878,1878,CHEMBL404687,1.65,OC(=O)c1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1,1,1,[0 0 0 ... 0 0 0]
587,587,CHEMBL2035028,2.0,NC1(CCC1)c2ccc(cc2)c3ncc4ncccc4c3c5ccccc5,1,1,[0 0 0 ... 0 0 0]
2675,2675,CHEMBL1290108,3.47,Clc1ccc(N2CCN(CC2)C(=O)COCc3ccccn3)c(Cl)c1,1,1,[0 0 0 ... 0 0 0]
566,566,CHEMBL2010838,1.9,CN(C1CCN(Cc2ccc(cn2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)n4cnnn4,1,1,[0 0 0 ... 0 0 0]
3653,3653,CHEMBL1087268,2.9,C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCN(C)CC3)c4ccc(F)cn4,1,1,[0 1 0 ... 0 0 0]
1763,1763,CHEMBL273575,2.08,CN1CC(c2ccccc2)c3cccc(N)c3C1,1,1,[0 0 0 ... 0 0 0]
2172,2172,CHEMBL2059373,-0.98,OC(=O)c1cncc(c1)c2cnc3[nH]c(cc3c2n4ccc(n4)C(F)(F)F)C(=O)NC5CC5,0,0,[0 0 0 ... 0 0 0]
3203,3203,CHEMBL49,2.19,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4,1,1,[0 0 0 ... 0 0 0]
4141,4141,CHEMBL1669157,2.4,Oc1cc(ccc1NC(=O)CN2CCOCC2)c3cccc4C(=O)C=C(Oc34)N5CCOCC5,1,1,[0 0 0 ... 0 0 0]
196,196,CHEMBL1623,3.39,Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1,1,1,[0 1 0 ... 0 0 0]
1948,1948,CHEMBL304784,2.6,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C)C=O,1,1,[0 1 0 ... 0 0 0]
4005,4005,CHEMBL233035,3.05,OCCNC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,1,1,[0 0 0 ... 0 1 0]
2436,2436,CHEMBL932,3.97,OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO,1,1,[0 0 1 ... 0 0 0]
3564,3564,CHEMBL2042442,2.21,O=C1C=C(Nc2ccccc12)c3occc3,1,1,[0 0 0 ... 0 0 0]
118,118,CHEMBL1824042,1.33,Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,1,1,[0 0 0 ... 0 0 0]
1489,1489,CHEMBL1900501,3.09,Oc1ccc(C(=O)Cc2ccccc2)c(O)c1,1,1,[0 0 0 ... 0 0 0]
4103,4103,CHEMBL174310,0.86,NC1=NC2(CCN(CC2)C(=O)c3ccc(cc3)C#N)Nc4c(F)ccc(F)c14,1,1,[0 0 0 ... 0 0 0]
598,598,CHEMBL1950725,0.81,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(C2)C(=O)Cc3ccccc3,1,1,[0 1 1 ... 0 0 0]
2740,2740,CHEMBL2078812,2.18,NC(=O)Nc1sc(cc1C(=O)N[C@H]2CCCNC2)c3cc(F)cc(F)c3,1,1,[0 0 0 ... 0 0 0]
4066,4066,CHEMBL550167,1.41,OCCCNCCCOc1ccc(Cl)c(c1)C(=O)NCC23CC4CC(CC(C4)C2)C3,1,1,[0 0 0 ... 0 0 0]
615,615,CHEMBL244936,3.3,CC(C)N1CCC[C@H](CN2C(=Nc3ccc(cc3C2=O)c4ccc(Cl)cc4)C)C1,1,1,[0 1 0 ... 0 0 0]
227,227,CHEMBL2158792,2.08,Cc1cc(OC2CCN(CC3CCN(CC3)[C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC2)ccc1Cl,1,1,[0 0 0 ... 0 0 0]
2923,2923,CHEMBL2346975,2.2,CC(=O)N1CCN(CCOc2ccc(cc2)C3(O)CCN(CC3)c4ccc5nnc(n5n4)C(F)(F)F)CC1,1,1,[0 0 0 ... 0 0 0]
1662,1662,CHEMBL1362574,2.8,CC(=O)Nc1nc(ns1)c2ccccc2,1,1,[0 0 0 ... 0 0 0]
3789,3789,CHEMBL480200,3.01,CN(C)c1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3,1,1,[0 0 0 ... 0 0 0]
322,322,CHEMBL2325983,3.4,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(C4CC4)c5ccc(Cl)cc5,1,1,[0 1 1 ... 0 0 0]
2112,2112,CHEMBL1224215,2.23,Cc1cc(ccc1O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)C(=O)N,1,1,[0 0 0 ... 0 0 0]
3212,3212,CHEMBL462192,2.02,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CCCN(C)CC4)ncc2F,1,1,[0 1 0 ... 0 0 0]
3532,3532,CHEMBL362962,0.9,O=C1O[C@]2(CN3CCC2CC3)CN1c4cccs4,1,1,[0 0 0 ... 0 0 0]
1836,1836,CHEMBL451570,0.51,Nc1nccc(n1)c2cc3C(=O)NC[C@@H](CCF)c3[nH]2,1,1,[0 0 0 ... 0 0 0]
1519,1519,CHEMBL103355,3.1,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(cc3)S(=O)(=O)N)n2)c1,1,1,[0 0 0 ... 0 0 0]
2071,2071,CHEMBL2059004,0.9,Cc1nc2ccc(NC(=O)CCNC(=O)N)cc2s1,1,1,[0 0 0 ... 0 0 0]
1327,1327,CHEMBL515,1.47,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,1,1,[0 0 0 ... 0 0 0]
2848,2848,CHEMBL402561,3.4,CCNC(=O)OC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c2ccc(Cl)cc2,1,1,[0 1 0 ... 0 0 0]
2490,2490,CHEMBL457887,1.32,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)CCCN(C)C)n2,1,1,[0 1 0 ... 0 0 0]
159,159,CHEMBL2070946,1.2,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ncc(C#N)s4,1,1,[0 0 1 ... 0 0 0]
775,775,CHEMBL393714,2.61,CN1C(=O)c2c(onc2c3ccccc3)C=C1c4ccncc4,1,1,[0 0 0 ... 0 0 0]
2324,2324,CHEMBL404609,2.42,NC(=O)Nc1sc(cc1C(=O)N)c2ccccc2,1,1,[0 0 0 ... 0 0 0]
581,581,CHEMBL365472,3.1,CC(C)Oc1ccc(cc1)C(=O)Nc2cc(NC(=O)c3cccc(c3)N(C)C)ccc2C,1,1,[0 1 0 ... 0 0 0]
641,641,CHEMBL243978,3.27,C1Oc2ccc(Oc3ccnc(Oc4ccc(cc4)n5ccnc5)n3)cc2O1,1,1,[0 0 0 ... 0 0 0]
621,621,CHEMBL2086659,3.5,C[C@H]1CN(CCN1c2ncc(OCc3ccc(cc3)S(=O)(=O)C)cn2)C(=O)OC(C)(C)C,1,1,[0 0 0 ... 0 0 0]
226,226,CHEMBL1180288,0.7,Oc1c2C(=O)N(NC(=O)c2nc3cc(Cl)ccc13)C(C4CC4)c5ccncc5,1,1,[0 1 0 ... 0 0 0]
748,748,CHEMBL1576727,2.92,COc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(F)cc3,1,1,[0 0 0 ... 0 0 0]
17,17,CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,1,1,[0 0 0 ... 0 0 0]
4033,4033,CHEMBL2059197,-0.79,CCCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,0,0,[0 0 0 ... 0 0 0]
3855,3855,CHEMBL433282,2.42,[O-][N+](=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23,1,1,[0 1 0 ... 0 0 0]
3705,3705,CHEMBL67860,2.85,Cn1c(ccc1c2ccc3NC(=O)OC(C)(C)c3c2)C#N,1,1,[0 0 0 ... 0 0 0]
2343,2343,CHEMBL1201295,3.57,Cc1ccc(cc1)C(=O)Oc2ccc(cc2OC(=O)c3ccc(C)cc3)C(O)CNC(C)(C)C,1,1,[0 1 0 ... 0 0 0]
1206,1206,CHEMBL2062575,1.62,CN(C)CCCNc1cc(nc2c(cnn12)C#N)n3ccc4ccc(NC(=O)C)cc34,1,1,[0 0 0 ... 0 0 0]
182,182,CHEMBL316388,1.5,C[C@@H]1CN([C@@H](C)CN1C(=O)c2ccc(cc2)C#N)C(=O)[C@@](C)(O)C(F)(F)F,1,1,[0 0 0 ... 0 0 0]
418,418,CHEMBL1956334,3.01,CC(=O)c1ncccc1NC(=O)[C@@H]2CC[C@H](CC2)N3C(=O)[C@@H]4[C@@H]5CC[C@@H](C5)[C@@H]4C3=O,1,1,[0 0 0 ... 0 0 1]
953,953,CHEMBL1734492,3.3,NC(=O)NC(=O)C(Nc1ccc2CCCc2c1)c3ccccc3,1,1,[0 1 0 ... 0 0 0]
3211,3211,CHEMBL2178943,1.8,Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(Cl)c2,1,1,[0 0 0 ... 0 0 0]
2756,2756,CHEMBL1389402,1.53,Cc1onc(CO)c1C(=O)Nc2nccs2,1,1,[0 0 0 ... 0 0 0]
3824,3824,CHEMBL1027,1.49,Cc1ccsc1C(=CCCN2CCC[C@H](C2)C(=O)O)c3sccc3C,1,1,[0 0 0 ... 1 0 0]
572,572,CHEMBL226781,1.78,Clc1ccc2C(=O)C3=C(Nc2c1)C(=O)NN(CC#Cc4ccccc4)C3=O,1,1,[0 0 0 ... 0 0 0]
229,229,CHEMBL813,-0.9,CCCCc1ncc(\C=C(/Cc2cccs2)\C(=O)O)n1Cc3ccc(cc3)C(=O)O,0,0,[0 0 0 ... 0 0 0]
3251,3251,CHEMBL1314022,-0.91,CCN(c1ccccc1)c2cc(NC)[n+](C)c(C)n2,0,0,[0 0 0 ... 0 0 0]
86,86,CHEMBL2087854,3.59,CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C,1,1,[0 1 0 ... 0 0 0]
534,534,CHEMBL1957374,3.5,CCc1ccccc1c2ccc(cc2)c3nc4ccncc4c(O)c3C#N,1,1,[0 0 0 ... 0 0 0]
2016,2016,CHEMBL256115,1.75,CCCNCc1cnc(s1)c2ccc(cc2)C(=O)Nc3ccccc3N,1,1,[0 0 0 ... 0 0 0]
2765,2765,CHEMBL1187646,1.5,NCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,1,1,[0 0 0 ... 0 0 0]
3090,3090,CHEMBL84158,-0.9,CCN(CC)CCNC(=O)c1cc(ccc1OC)S(=O)(=O)C,0,0,[0 0 0 ... 0 0 0]
1240,1240,CHEMBL2088093,3.07,COCCCc1cc(Nc2nc(NCc3onc(C)c3)ncc2Br)n[nH]1,1,1,[0 0 0 ... 0 0 0]
2374,2374,CHEMBL167471,2.95,CCCc1c(O)c(ccc1OCc2cccc(NC(=O)Cc3ccccc3C(=O)O)c2)C(=O)C,1,1,[0 0 0 ... 0 0 0]
276,276,CHEMBL59956,2.5,NC(=O)c1ccccc1OCc2ccccc2,1,1,[0 0 0 ... 0 0 0]
1642,1642,CHEMBL1173655,3.7,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,1,1,[0 0 0 ... 0 0 0]
242,242,CHEMBL1201373,1.07,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]12,1,1,[0 1 0 ... 0 0 0]
3446,3446,CHEMBL347164,0.2,COc1ccc(cc1)c2nc(nc(O)c2C#N)N3CCOCC3,1,1,[0 0 0 ... 0 0 0]
263,263,CHEMBL379787,3.3,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3ccccc3n2CCN4CCOCC4,1,1,[0 0 0 ... 0 0 0]
3392,3392,CHEMBL1302851,4.13,CC(C)(C)NC(=O)C(N(Cc1occc1)C(=O)c2ccc([nH]2)c3ccccc3)c4ccncc4,1,1,[0 1 0 ... 0 0 0]
3227,3227,CHEMBL2208427,3.12,COc1cc(ccc1N)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,1,[0 1 0 ... 0 0 0]
4061,4061,CHEMBL64,-0.57,NNC(=O)c1ccncc1,0,0,[0 0 0 ... 0 0 0]
727,727,CHEMBL254370,2.14,CC[C@@H](NC1=C(Nc2cccc(C(=O)N(C)C)c2O)C(=O)C1=O)c3ccccc3,1,1,[0 1 0 ... 0 0 0]
2226,2226,CHEMBL2325994,1.3,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCCC4)c5ccc(Cl)cc5,1,1,[0 1 1 ... 0 0 0]
2959,2959,CHEMBL1950857,2.05,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(C)cc2)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0]
2734,2734,CHEMBL115,2.9,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@@H]4[C@H](O)Cc5ccccc45,1,1,[0 1 0 ... 0 0 0]
2265,2265,CHEMBL184052,3.6,COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(c4)N5CCOCC5)ccc3C)c2cc1OC,1,1,[0 0 0 ... 0 0 0]
2095,2095,CHEMBL315970,4.41,CC(C)CN1C(=O)N(C)C(=O)c2cn(Cc3cccc4ccccc34)cc12,1,1,[0 1 0 ... 0 0 0]
2255,2255,CHEMBL1560812,2.17,Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)c3occc3,1,1,[0 0 0 ... 0 0 0]
3367,3367,CHEMBL1835911,2.5,CCOC(=O)c1ccc(COC2CN(C2)c3ccc(C)nn3)cc1,1,1,[0 0 0 ... 0 0 0]
1928,1928,CHEMBL1454839,1.0,C1CNCC(C1)c2nc3ccccc3s2,1,1,[0 0 0 ... 0 0 0]
2907,2907,CHEMBL1789187,-0.49,NCC[C@@H](Oc1nc(ccc1C#N)C(F)(F)F)c2oncc2,0,0,[0 1 0 ... 1 0 0]
1778,1778,CHEMBL66089,3.2,Nc1ncnc2nc(cc(c3cccc(Br)c3)c12)c4ccc(nc4)N5CCOCC5,1,1,[0 0 0 ... 0 0 0]
1902,1902,CHEMBL35,-0.9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl,0,0,[0 0 0 ... 0 0 0]
1386,1386,CHEMBL476577,2.76,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CC(C4)NC(=O)C)ncc2F,1,1,[0 1 0 ... 0 0 0]
346,346,CHEMBL193757,0.81,CC(C)Oc1cc(OCCc2cccnc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,1,1,[0 1 0 ... 0 0 0]
558,558,CHEMBL1957850,2.3,Cc1ccccc1CN2C=CN3C(=O)C=C(N=C23)N4CCOCC4,1,1,[0 0 0 ... 0 0 0]
2615,2615,CHEMBL1689118,0.31,CC1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c3ccccc3,1,1,[0 0 0 ... 0 0 0]
4012,4012,CHEMBL1209587,3.39,Clc1cccc(c1)S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,1,1,[0 1 1 ... 0 0 0]
2600,2600,CHEMBL1096435,3.86,CS(=O)(=O)c1ccc(cc1)[C@@H](CC2CCCC2)C(=O)Nc3nccs3,1,1,[0 1 0 ... 0 0 0]
480,480,CHEMBL104298,1.6,Oc1nc2cc(Cl)cc(Cl)c2c(O)c1c3ccccc3,1,1,[0 0 0 ... 0 0 0]
257,257,CHEMBL1371,2.16,Clc1ccc2OC(=O)Nc2c1,1,1,[0 0 0 ... 0 0 0]
3527,3527,CHEMBL57759,3.26,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(C)C,1,1,[0 0 0 ... 0 0 0]
533,533,CHEMBL1682961,3.62,CC[C@H](NC(=O)c1c([S+](C)[O-])c(nc2cc(F)ccc12)c3ccccc3)c4ccccc4,1,1,[0 1 0 ... 0 0 0]
124,124,CHEMBL1163803,4.3,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F,1,1,[0 1 0 ... 0 0 0]
882,882,CHEMBL452861,0.99,CC(C)NC[C@H](O)COc1cccc2ccccc12,1,1,[0 1 0 ... 0 0 0]
3469,3469,CHEMBL300663,2.67,CCOc1ccccc1c2ccc3c(c2)C(=O)C(=O)c4ccccc34,1,1,[0 1 0 ... 0 0 0]
4077,4077,CHEMBL1809044,3.65,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)C,1,1,[0 0 0 ... 0 0 0]
2713,2713,CHEMBL268362,1.8,COc1ccccc1CNC(=O)c2ccc3cnccc3n2,1,1,[0 0 0 ... 0 0 0]
2694,2694,CHEMBL324875,2.07,Cc1ccc(CCOCCNS(=O)(=O)CCCNCCc2ccc(O)c3nc(O)sc23)cc1,1,1,[0 0 0 ... 0 1 0]
2961,2961,CHEMBL1497909,3.5,COc1ccc(cc1OC)C(=O)Nc2cccc(NC(=O)c3ccc(OC)c(OC)c3)n2,1,1,[0 0 0 ... 0 0 0]
2518,2518,CHEMBL1321641,1.51,N#Cc1nc(nc(n1)N2CCOCC2)N3CCOCC3,1,1,[0 0 0 ... 0 0 0]
1430,1430,CHEMBL314437,0.8,CCC1(CCCCN(C)C1)c2cccc(O)c2,1,1,[0 0 0 ... 0 0 0]
2041,2041,CHEMBL563379,1.41,CNC[C@H](O)c1ccc(Cl)c(c1)C(=O)NCC23CC4CC(CC(C4)C2)C3,1,1,[0 1 0 ... 0 0 0]
3424,3424,CHEMBL314566,3.58,Oc1cc(Cl)cc(Cl)c1,1,1,[0 0 0 ... 0 0 0]
1098,1098,CHEMBL1939752,3.02,CCOC(=O)Nc1cccc(c1)[C@H](N2CCN(Cc3cccnc3)CC2)c4ccc(cc4)C(=O)N5CCC5,1,1,[0 1 0 ... 0 0 0]
2836,2836,CHEMBL1270874,2.9,CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ocnc34)n2)c1,1,1,[0 0 0 ... 0 0 0]
2049,2049,CHEMBL495497,2.36,O=C(N1CCN(CC1)c2ccccn2)c3cccc(CC4=NNC(=O)c5ccccc45)c3,1,1,[1 0 0 ... 0 0 0]
2284,2284,CHEMBL27006,3.6,FC(F)(F)c1cc(CO[C@H]2CCCN[C@H]2c3ccccc3)cc(c1)C(F)(F)F,1,1,[0 0 0 ... 0 0 0]
2521,2521,CHEMBL1586531,3.1,Clc1ccc(cc1)C(=O)\C=C\Sc2nc[nH]n2,1,1,[0 0 0 ... 0 0 0]
2357,2357,CHEMBL402501,2.4,C[C@H](Cc1cccc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c1)NC[C@H](O)c5ccc(O)c(CO)c5,1,1,[0 1 0 ... 0 0 0]
489,489,CHEMBL2164688,2.4,COc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,1,1,[0 1 1 ... 0 0 0]
2578,2578,CHEMBL1079324,4.12,C[C@@H]1CN(C[C@H](C)O1)c2nc(N3CCOCC3)c4ccc(Nc5ccccc5)nc4n2,1,1,[0 0 0 ... 0 0 0]
3045,3045,CHEMBL473,0.6,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,1,1,[0 0 0 ... 0 0 0]
3127,3127,CHEMBL1201212,-0.71,COc1ccc(OC)c(c1)C(O)CNC(=O)CN,0,0,[0 1 0 ... 0 0 0]
3249,3249,CHEMBL1831214,2.43,NC(=O)Nc1cc(sc1C(=O)N)c2ccccc2,1,1,[0 0 0 ... 0 0 0]
3726,3726,CHEMBL1963131,1.72,COc1ccc(cn1)[C@@]2(O)CC[C@H](CC2)N3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F,1,1,[0 0 0 ... 0 1 0]
3818,3818,CHEMBL1773959,-1.27,OC(=O)CCC(=O)N1CCC(CC1)c2onc(n2)c3cccs3,0,0,[0 0 0 ... 0 0 0]
1288,1288,CHEMBL2207671,2.63,CS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 1 0]
92,92,CHEMBL2326481,1.72,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,1,1,[0 0 0 ... 0 0 0]
3135,3135,CHEMBL1736016,2.93,O=C(NC1CCCCC1)C2CCCN(C2)S(=O)(=O)c3cccs3,1,1,[0 0 1 ... 0 0 0]
2507,2507,CHEMBL126048,0.8,Oc1c2ncc3ccccc3c2nn1c4ccccc4,1,1,[0 0 0 ... 0 0 0]
4090,4090,CHEMBL562847,2.89,CCCCC(NC(=O)CC1CCN(Cc2ccn(c2)c3ccc(cc3)C(F)(F)F)CC1)C4=CNC(=O)C=C4,1,1,[0 1 0 ... 0 0 0]
2699,2699,CHEMBL1951011,3.7,CC(C)OC(=O)N1CCC(CC1)Oc2ncnc(Oc3ccc(cc3F)S(=O)(=O)C)c2C,1,1,[0 1 0 ... 0 0 0]
3147,3147,CHEMBL234524,1.8,Oc1ccc(cc1)N2C(=O)c3ccc(O)cc3C2=O,1,1,[0 0 0 ... 0 0 0]
2796,2796,CHEMBL577241,3.3,Oc1ccc(CCc2ccc(O)cc2)cc1,1,1,[0 0 0 ... 0 0 0]
2123,2123,CHEMBL1270772,3.0,CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4CCOc34)n2)c1,1,1,[0 0 0 ... 0 0 0]
4032,4032,CHEMBL1778865,1.8,COc1cc(F)ccc1c2cncc(CNCC3CC3)n2,1,1,[0 0 0 ... 0 0 0]
2475,2475,CHEMBL1289349,2.74,Clc1ccc(cc1)C2CCN(CC2)C(=O)COCc3ccncc3,1,1,[0 0 0 ... 0 0 0]
1399,1399,CHEMBL44793,1.52,OC(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1\C=C\C(=O)Nc3ccccc3,1,1,[0 0 0 ... 0 0 0]
1825,1825,CHEMBL366947,2.48,CC(C)(C)OC(=O)c1ncn2c1[C@@H]3CCCN3C(=O)c4c(Br)cccc24,1,1,[0 0 0 ... 0 0 0]
3098,3098,CHEMBL382435,2.71,CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(Cl)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,1,1,[0 1 0 ... 0 0 0]
