,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,fp,cluster
279,279,CHEMBL250961,4.0,Cc1ccc(F)cc1S(=O)(=O)N[C@@H]2CCN(Cc3ccc(cc3)c4ccccc4)C2,1,[0 0 0 ... 0 0 0],10
288,288,CHEMBL2057372,0.96,CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2,1,[0 1 0 ... 0 0 0],10
292,292,CHEMBL1886726,1.73,CC1CN(C(=O)c2ccccc2)c3ccccc3NC1=O,1,[0 0 0 ... 0 0 0],10
293,293,CHEMBL474432,0.84,COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)O)c2cc1OC,1,[0 0 0 ... 0 0 0],10
296,296,CHEMBL335744,2.7,CC(C)C(=O)Nc1nc(cc2ccccc12)c3ccccn3,1,[0 1 0 ... 0 0 0],10
299,299,CHEMBL1783119,3.5,COc1ccc(cc1)C(=O)NCc2cn(nn2)c3cc(C)nc4ccc(OC)cc34,1,[0 0 0 ... 0 0 0],10
304,304,CHEMBL216981,2.32,CC[C@@H](NC1=C(Nc2cccc(C(=O)N(C)C)c2O)C(=O)C1=O)c3oc(C)cc3,1,[0 1 0 ... 0 0 0],10
308,308,CHEMBL1939749,2.32,CCOC(=O)Nc1cccc(c1)[C@H](N2CCN(Cc3nc[nH]c3C)CC2)c4ccc(cc4)C(=O)N(C)CC,1,[0 1 0 ... 0 0 0],10
312,312,CHEMBL1770477,4.23,CCOc1ccc2oc(C(=O)NC(CCSC)c3nc4ncccc4[nH]3)c(C)c2c1,1,[0 1 0 ... 0 0 0],10
342,342,CHEMBL1703518,3.9,CCN(CC)S(=O)(=O)c1ccc(cc1)c2oc(SCC(=O)N3CCc4ccccc34)nn2,1,[0 0 0 ... 0 0 0],10
343,343,CHEMBL1084762,2.53,OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3,1,[0 0 0 ... 0 0 0],10
348,348,CHEMBL1190521,1.89,CCOC(=O)C1(CCCN(CC2CC2)C1)c3cccc(O)c3,1,[0 0 0 ... 0 0 0],10
349,349,CHEMBL210887,3.0,OCCCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,1,[0 0 0 ... 0 0 0],10
353,353,CHEMBL1308863,2.96,Cc1cc(NC(=O)Nc2ccc(Cl)cc2)n(C)n1,1,[0 0 0 ... 0 0 0],10
359,359,CHEMBL1608462,3.8,CC(C)n1ncc2c(cc(nc12)C3CC3)C(=O)NCc4c(C)cc(C)nc4O,1,[0 1 0 ... 0 0 0],10
361,361,CHEMBL2107729,3.02,Clc1ccc(NS(=O)(=O)c2ccc(Cl)s2)c(c1)C(=O)Nc3ccc(cc3)S(=O)(=O)N4CCOCC4,1,[0 0 0 ... 0 0 0],10
365,365,CHEMBL2336320,2.82,COc1ccc(cc1C(=O)N)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,1,[0 1 0 ... 0 0 0],10
374,374,CHEMBL550438,3.56,CC1CCC(CC(=O)Nc2cccc3ncccc23)CC1,1,[0 0 0 ... 0 0 0],10
377,377,CHEMBL1232461,2.46,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,1,[0 0 0 ... 0 0 0],10
391,391,CHEMBL1073,0.31,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,1,[0 0 1 ... 0 0 0],10
406,406,CHEMBL260091,2.03,C[C@@H](O)[C@H](NC(=O)c1ccc(cc1)C#Cc2ccc(CN3CCOCC3)cc2)C(=O)NO,1,[0 1 0 ... 0 0 0],10
415,415,CHEMBL2031563,0.29,Fc1cc(C(=O)Nc2cccc(c2)c3nnn[nH]3)c4nc[nH]c4c1,1,[0 0 0 ... 0 0 0],10
418,418,CHEMBL1956334,3.01,CC(=O)c1ncccc1NC(=O)[C@@H]2CC[C@H](CC2)N3C(=O)[C@@H]4[C@@H]5CC[C@@H](C5)[C@@H]4C3=O,1,[0 0 0 ... 0 0 1],10
419,419,CHEMBL115022,2.41,CC(=O)Nc1ccc2nc(cc(O)c2c1)c3cccc(F)c3,1,[0 0 0 ... 0 0 0],10
437,437,CHEMBL259850,2.9,COc1ccc(CNC(=O)Nc2ncc(s2)[N+](=O)[O-])cc1,1,[0 0 0 ... 0 0 0],10
442,442,CHEMBL1214185,1.8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)\C(=N/OCOCCOC)\[C@H](C)[C@@H](O)[C@]1(C)O,1,[0 0 0 ... 0 0 0],10
454,454,CHEMBL2153435,2.42,CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,1,[0 0 0 ... 0 0 0],10
458,458,CHEMBL2059000,0.5,CCCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1,1,[0 0 0 ... 0 0 0],10
464,464,CHEMBL1831130,1.55,COc1ccc2nc(C)cc(N3CC(CNC(=O)C4CC4)OC3=O)c2c1,1,[0 0 0 ... 0 0 0],10
472,472,CHEMBL1574150,4.36,O=C(NC1CCCC1)C(N(Cc2occc2)C(=O)c3ccc([nH]3)c4ccccc4)c5ccncc5,1,[0 1 0 ... 0 0 0],10
473,473,CHEMBL272282,1.63,CN1C(=N)N(CC(=O)c2ccc(Cl)cc2)c3ccccc13,1,[0 0 0 ... 0 0 0],10
476,476,CHEMBL1430943,3.44,CCCS(=O)(=O)N1CCCC(C1)C(=O)N2CCC(Cc3ccccc3)CC2,1,[0 0 0 ... 0 0 0],10
478,478,CHEMBL128514,3.5,CNC(=O)c1ccc(CCC(COc2ccc(cc2)c3cccc(c3)[N+](=O)[O-])N4C(=O)CSC4=O)cc1,1,[0 1 0 ... 0 0 0],10
491,491,CHEMBL2164377,3.9,FC(F)(F)Oc1ccc(CNC(=O)C2N(CC3CC(F)(F)C3)C(=O)c4ccccc24)cc1,1,[0 0 0 ... 0 0 0],10
495,495,CHEMBL279053,3.92,CCCc1c(OCCCSc2ccc(CC(=O)O)cc2Cl)ccc3c(CC)noc13,1,[0 1 0 ... 0 0 0],10
497,497,CHEMBL1824832,2.94,CCOc1ccc(Oc2ccc(cc2)S(=O)(=O)NC(=O)c3cccc(c3)c4ccc(Cl)c(Cl)c4)cc1,1,[0 0 0 ... 0 0 0],10
509,509,CHEMBL480601,3.84,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)NC3CCN(CC3)c4ccc(cn4)C(F)(F)F)C(=O)C2,1,[0 0 0 ... 0 0 0],10
510,510,CHEMBL652,1.13,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2,1,[0 0 0 ... 0 0 0],10
515,515,CHEMBL2104625,0.67,O=C(Nc1nnn[nH]1)C2=CC(=C3C=CC=CN3C2=O)Oc4ccccc4,1,[0 0 0 ... 0 0 0],10
519,519,CHEMBL358325,2.58,CN1CCN(CC1)c2nc(CCOc3ccc(C[C@H](Nc4ccccc4C(=O)c5ccccc5)C(=O)O)cc3)c(C)s2,1,[0 1 0 ... 0 0 0],10
520,520,CHEMBL465305,2.21,CC(=O)c1ccc(nc1)N2CCN(CC2)S(=O)(=O)C[C@]34CC[C@H](CC3=O)C4(C)C,1,[0 0 0 ... 0 0 0],10
531,531,CHEMBL472455,3.09,COc1ccc(N(C(C(=O)NC2CCCC2)c3ccccc3F)C(=O)c4occc4)c(OC)c1,1,[0 1 0 ... 0 0 0],10
537,537,CHEMBL2087421,-0.4,COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CC2)C3CCN(C)CC3,1,[0 0 0 ... 1 0 0],10
541,541,CHEMBL2147569,3.8,C[C@]12Cc3cnn(c3C=C1CC[C@@]2(O)CCc4ccc(F)cc4C(=O)N)c5ccc(F)cc5,1,[0 0 0 ... 0 0 0],10
545,545,CHEMBL562310,3.28,O=C(Nc1cccc2cccnc12)c3ccc(cc3)N4C(=O)[C@@H]5[C@H]6C[C@H](C=C6)[C@@H]5C4=O,1,[0 0 0 ... 0 0 0],10
550,550,CHEMBL313206,0.53,Cc1cc(N)c2cc(NC(=O)CCCCC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,1,[0 0 0 ... 0 0 0],10
552,552,CHEMBL1903477,1.37,NC(=O)C1=CN(Cc2ccc(F)c(F)c2)C(=O)C=C1,1,[0 0 0 ... 0 0 0],10
559,559,CHEMBL464552,2.61,CNC(=O)c1c(F)cccc1Nc2nc(Nc3cc4N(CCc4cc3OC)C(=O)CN(C)C)nc5[nH]ccc25,1,[0 0 1 ... 0 0 0],10
561,561,CHEMBL129529,1.93,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,1,[0 0 0 ... 0 0 0],10
578,578,CHEMBL311862,2.7,COc1cc(ccc1Cn2ccc3ccc(NC(=O)OC4CCCC4)cc23)c5nn[nH]n5,1,[0 0 0 ... 0 0 0],10
582,582,CHEMBL20,-0.78,CC(=O)Nc1nnc(s1)S(=O)(=O)N,0,[0 0 0 ... 0 0 0],10
605,605,CHEMBL2110360,3.13,CCN(CC)CCOc1ccc(cc1OC)N(C)C(=O)c2ccc(cc2)c3ccc(cc3)C(F)(F)F,1,[0 0 0 ... 0 0 0],10
611,611,CHEMBL2208437,1.21,CS(=O)(=O)c1ccccc1C(=O)NCC(O)CNC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2,1,[0 1 0 ... 0 0 0],10
626,626,CHEMBL914,0.42,CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,1,[0 1 0 ... 0 0 0],10
629,629,CHEMBL132293,1.09,OC[C@H](O)C(=O)N1CCC(=CC1)c2ccc(cc2F)N3C[C@H](COc4ccon4)OC3=O,1,[0 1 0 ... 0 0 0],10
632,632,CHEMBL1818341,1.9,CC(C)CNCc1ccc(cc1)c2ccccc2S(=O)(=O)N3CCCC3,1,[0 1 0 ... 0 0 0],10
635,635,CHEMBL193240,3.95,FC(F)Oc1ccc(cc1OCC2CC2)C(=O)Nc3c(Cl)cncc3Cl,1,[0 1 0 ... 0 0 0],10
644,644,CHEMBL33,-0.35,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,1,[0 0 0 ... 1 0 0],10
645,645,CHEMBL595,2.8,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,1,[0 0 0 ... 0 0 0],10
676,676,CHEMBL1538897,3.4,COc1ccc(Cl)cc1NC(=O)CCS(=O)(=O)c2ccc(Br)cc2,1,[0 0 0 ... 0 0 0],10
684,684,CHEMBL1683934,2.16,O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3)c4ccc(O)c5NC(=O)C=Cc45,1,[0 1 0 ... 0 0 0],10
686,686,CHEMBL2088121,-0.62,COc1c(N2CCO[C@@H](CN(C)C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O,0,[0 0 0 ... 0 0 0],10
692,692,CHEMBL331019,3.6,O=C(CSc1ccncc1)Nc2ccc(cc2)C(=O)c3ccccc3,1,[0 0 0 ... 0 0 0],10
695,695,CHEMBL2107486,2.1,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)SC3CN(C3)C4=NCCS4,1,[0 1 0 ... 0 0 0],10
704,704,CHEMBL1312533,2.79,CC(=O)NC1CC2CCCC(C1)N2C(=O)Nc3ccc(Cl)c(c3)C(F)(F)F,1,[0 0 0 ... 0 0 0],10
705,705,CHEMBL1951032,2.4,COc1c(Nc2ccc(nc2C)S(=O)(=O)C)ncnc1OC3CCN(CC3)C(=O)OC(C)C,1,[0 1 0 ... 0 0 0],10
711,711,CHEMBL213294,2.94,COc1ccc(NC(=O)CSc2nnc(C)n2c3ccc(C)cc3)cc1,1,[0 0 0 ... 0 0 0],10
718,718,CHEMBL126,0.67,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,1,[0 0 0 ... 0 0 0],10
725,725,CHEMBL1064,3.7,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,1,[1 0 0 ... 0 0 0],10
731,731,CHEMBL561368,3.57,CC(C)NC(=O)c1cnc(N2CCC(CC2)N3C(=O)OCc4ccccc34)c(Cl)c1,1,[0 1 0 ... 0 0 0],10
745,745,CHEMBL1978713,3.85,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,1,[0 0 0 ... 0 0 0],10
749,749,CHEMBL2177390,1.3,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4,1,[0 1 0 ... 0 0 0],10
751,751,CHEMBL22033,1.8,COc1cc(ccc1Cn2ncc3ccc(NC(=O)OC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5,1,[0 0 0 ... 0 1 0],10
755,755,CHEMBL1624529,0.3,NC1C2CN(CC12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F,1,[0 0 0 ... 0 0 0],10
758,758,CHEMBL2177608,1.11,CC1(CC1)c2c(cnn2c3ccc(cc3)C(=O)O)C(=O)NC4C5CC6CC(CC4C6)C5,1,[0 0 0 ... 0 0 0],10
774,774,CHEMBL1212988,2.53,Cc1cc(C)c2c(N)c(sc2n1)C(=O)NC3CC3,1,[0 0 0 ... 0 0 0],10
776,776,CHEMBL404108,1.02,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,1,[0 0 0 ... 0 0 0],10
779,779,CHEMBL1779045,2.24,Cc1cccc(c1)N(Cc2cc(F)c(F)cc2F)C(=O)O[C@H]3CN4CCC3CC4,1,[0 0 0 ... 0 0 0],10
780,780,CHEMBL1887445,3.2,CCCC(=O)N1CCN(CC1)c2nnc(c3ccccc3)c4ccccc24,1,[0 0 0 ... 0 0 0],10
781,781,CHEMBL514201,3.6,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)c3cc4c(cn(C)c4cc3Cl)C(=O)C(=O)N(C)C,1,[0 0 0 ... 0 0 0],10
783,783,CHEMBL259515,1.13,CN1SC(=NC1=O)NC(=O)c2ccccc2,1,[0 0 0 ... 0 0 0],10
793,793,CHEMBL1089224,3.76,CCCCOc1nc(N)c2NC(=O)N(Cc3cccc(CC(=O)OC)c3)c2n1,1,[0 0 0 ... 0 0 0],10
800,800,CHEMBL325681,2.41,COc1cccc(c1)c2cc(O)c3cc(NC(=O)C)ccc3n2,1,[0 0 0 ... 0 0 0],10
803,803,CHEMBL364069,0.7,O=C(N[C@H]1CN2CCC1CC2)c3ccc(s3)c4ccccn4,1,[0 0 0 ... 0 0 0],10
805,805,CHEMBL495383,3.83,OCCc1cccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)c1,1,[0 0 0 ... 0 0 0],10
809,809,CHEMBL1289926,3.8,CNC(=O)c1ccccc1Sc2ccc3c(\C=C\c4ccccn4)n[nH]c3c2,1,[0 1 0 ... 0 0 0],10
820,820,CHEMBL73151,2.73,CCN(CC)C(=O)N[C@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(C)C1,1,[0 0 0 ... 0 0 0],10
827,827,CHEMBL1241590,0.44,CS(=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl,1,[0 1 0 ... 0 0 0],10
830,830,CHEMBL533154,1.39,Cc1cc(N)c2cc(NC(=O)CCC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,1,[0 0 0 ... 0 0 0],10
841,841,CHEMBL71917,3.5,CC(C)OC(=O)C1=CN(Cc2c(F)cccc2F)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(NC(=O)C(C)C)cc5,1,[0 1 0 ... 0 0 0],10
849,849,CHEMBL2177155,3.25,CN1CCN(CC1)S(=O)(=O)c2ccc(c3cnc(N)c(n3)C(=O)Nc4cccnc4)c(c2)C(F)(F)F,1,[0 0 0 ... 0 0 0],10
859,859,CHEMBL1499,1.4,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)CC(=O)[C@H]23,1,[0 0 0 ... 0 0 0],10
869,869,CHEMBL1303766,-0.2,CCN(CC)c1ccc2C=C(C(=O)O)C(=O)Oc2c1,1,[0 0 0 ... 0 0 1],10
871,871,CHEMBL20210,2.8,CCOC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c2cc(C)on2)C(C)C)Cc3ccc(F)cc3,1,[0 1 0 ... 0 0 0],10
884,884,CHEMBL379350,2.0,CCN(CC)c1ccc2C=C(C(=O)C)C(=O)Oc2c1,1,[0 0 0 ... 0 0 1],10
899,899,CHEMBL569,0.0,CCN(CC)CCOC(=O)c1ccc(N)cc1,1,[0 0 0 ... 0 0 0],10
905,905,CHEMBL443684,0.64,CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,1,[0 1 0 ... 0 0 0],10
911,911,CHEMBL1762,-0.15,CC(N)C(=O)Nc1c(C)cccc1C,1,[0 1 0 ... 0 0 0],10
914,914,CHEMBL554169,1.02,Cc1ccc(OC(=O)N2CCN3CCC2CC3)cc1,1,[0 0 0 ... 0 0 0],10
916,916,CHEMBL561339,0.77,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc4ccccc24)c(O)c1,1,[0 0 0 ... 0 0 0],10
918,918,CHEMBL1536083,4.03,CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c2ccc(Cl)cc2,1,[0 0 0 ... 0 0 0],10
920,920,CHEMBL60066,1.38,[O-][n+]1cc(ccc1Cl)C(=O)Nc2ccc(F)cc2,1,[0 0 0 ... 0 0 0],10
926,926,CHEMBL87277,3.97,Cn1nc(cc1NC(=O)Nc2ccc(Cl)cc2)C(C)(C)C,1,[0 0 0 ... 0 0 0],10
929,929,CHEMBL1610495,3.1,CNC(=O)c1cc(C(=O)c2ccc(Cl)cc2)c(Br)[nH]1,1,[0 0 0 ... 0 0 0],10
930,930,CHEMBL2325622,1.0,CN1CC(C1)n2nccc2c3cc(Cl)ccc3Oc4cc(F)c(cc4F)S(=O)(=O)Nc5ncns5,1,[0 0 0 ... 0 0 0],10
940,940,CHEMBL1481,1.73,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@@H]3CC[C@@H](C)CC3)C1=O,1,[0 0 0 ... 0 0 0],10
941,941,CHEMBL1938681,3.0,Clc1ccc(cc1)c2oc(cc2)C(=O)N(Cc3ccccn3)c4ccc(cc4)N5CCNCC5,1,[0 0 0 ... 0 0 0],10
957,957,CHEMBL1483,3.24,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1,[0 0 0 ... 0 0 0],10
