,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,target_actual,fp,cluster
3554,3554,CHEMBL225364,2.93,CNc1cc(nc2c(cc(OC)cc12)N3CCN(C)CC3)C(=O)Nc4ccc(cc4)N5CCOCC5,1,1,[0 0 0 ... 0 0 0],0
3735,3735,CHEMBL2036572,2.4,Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(cn3)N4CCOCC4,1,1,[0 0 0 ... 0 0 0],0
3799,3799,CHEMBL2036746,3.15,O=C(Nc1ccc(cc1)N2CCOCC2)c3oc(Nc4ccccc4)nn3,1,1,[0 0 0 ... 0 0 0],0
3847,3847,CHEMBL2036745,2.48,OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2,1,1,[0 0 0 ... 0 0 0],0
3966,3966,CHEMBL224267,3.85,COc1cc(nc2c(cc(F)cc12)N3CCN(C)CC3)C(=O)Nc4ccc(cc4)N5CCOCC5,1,1,[0 0 0 ... 0 0 0],0
4022,4022,CHEMBL2036584,3.1,Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(Oc4cccnc4)nc3,1,1,[0 0 0 ... 0 0 0],0
4085,4085,CHEMBL2036569,4.0,Cc1cc(NC(=O)c2oc(Nc3ccccc3F)nn2)ccc1N4CCOCC4,1,1,[0 0 0 ... 0 0 0],0
4091,4091,CHEMBL2036588,3.2,Fc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1,1,1,[0 0 0 ... 0 0 0],0
4190,4190,CHEMBL2036733,3.42,Cc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1,1,1,[0 0 0 ... 0 0 0],0
1860,1860,CHEMBL264961,1.99,CNC(=O)c1ccc(CN2CCC(CC2)c3ccc(cc3)C(=O)Nc4ccccc4N)cc1,1,1,[0 0 0 ... 0 0 0],1
3432,3432,CHEMBL260200,1.53,CN(C)C(=O)c1ccc(CN2CCC(CC2)c3ccc(cc3)C(=O)Nc4ccccc4N)cc1,1,1,[0 0 0 ... 0 0 0],1
3862,3862,CHEMBL412083,2.24,CCNC(=O)c1ccc(CN2CCC(CC2)c3ccc(cc3)C(=O)Nc4ccccc4N)cc1,1,1,[0 0 0 ... 0 0 0],1
62,62,CHEMBL453862,2.77,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,1,1,[0 1 0 ... 0 0 0],2
1384,1384,CHEMBL1614709,2.9,CN1CCN(CC1)c2ccc(Nc3ncc(F)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)cc2C,1,1,[0 0 0 ... 0 0 0],2
1386,1386,CHEMBL476577,2.76,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CC(C4)NC(=O)C)ncc2F,1,1,[0 1 0 ... 0 0 0],2
1462,1462,CHEMBL515001,3.01,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CCOCC4)ncc2F,1,1,[0 1 0 ... 0 0 0],2
1546,1546,CHEMBL509881,2.7,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N)ncc2F,1,1,[0 1 0 ... 0 0 0],2
1726,1726,CHEMBL462385,2.26,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)ncc2F,1,1,[0 1 0 ... 0 0 0],2
2208,2208,CHEMBL476993,2.19,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CCN(CC4)C(=O)CO)ncc2F,1,1,[0 1 0 ... 0 0 0],2
2397,2397,CHEMBL507722,2.13,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)NC4CCN(C)CC4)ncc2F,1,1,[0 1 0 ... 0 0 0],2
2683,2683,CHEMBL460102,2.16,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CC[C@@H](C4)N(C)C)ncc2F,1,1,[0 1 0 ... 0 0 0],2
2760,2760,CHEMBL455651,3.31,CNC(=O)c1ccc(Nc2ncc(F)c(n2)c3cnc(C)n3C(C)C)cc1F,1,1,[0 1 0 ... 0 0 0],2
2825,2825,CHEMBL460103,2.36,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CC[C@H](C4)N(C)C)ncc2F,1,1,[0 1 0 ... 0 0 0],2
2938,2938,CHEMBL508739,2.86,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)N(C)C)c(C)c3)ncc2F,1,1,[0 1 0 ... 0 0 0],2
3132,3132,CHEMBL454648,3.14,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F,1,1,[0 1 0 ... 0 0 0],2
3210,3210,CHEMBL509406,2.41,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F,1,1,[0 1 0 ... 0 0 0],2
3212,3212,CHEMBL462192,2.02,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CCCN(C)CC4)ncc2F,1,1,[0 1 0 ... 0 0 0],2
3275,3275,CHEMBL476578,3.3,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CC[C@H](C4)NC(=O)C)ncc2F,1,1,[0 1 0 ... 0 0 0],2
3421,3421,CHEMBL453655,3.0,CNC(=O)c1ccc(Nc2ncc(F)c(n2)c3cnc(C)n3C(C)C)cc1,1,1,[0 1 0 ... 0 0 0],2
3685,3685,CHEMBL455429,3.14,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)N)c(F)c3)ncc2F,1,1,[0 1 0 ... 0 0 0],2
3930,3930,CHEMBL451462,2.49,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CCN(C)CC4)ncc2F,1,1,[0 1 0 ... 0 0 0],2
38,38,CHEMBL1235773,2.55,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,1,1,[0 0 0 ... 0 0 0],3
254,254,CHEMBL1916532,1.46,COc1ccc2ncc(F)c(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,1,1,[0 0 0 ... 0 0 0],3
330,330,CHEMBL2164745,0.78,COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4cc5OCCOc5cn4)[C@@H](O)C3)c2c1,1,1,[0 0 0 ... 0 0 0],3
423,423,CHEMBL1914480,0.83,COc1ccc2N=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,1,1,[0 0 0 ... 0 0 0],3
866,866,CHEMBL2164744,0.77,COc1ccc2N=CC(=O)N(CCN3CC[C@H](NCc4cc5OCCOc5cn4)[C@H](O)C3)c2c1,1,1,[0 0 0 ... 0 0 0],3
1079,1079,CHEMBL2165054,0.63,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4cc5OCCOc5cn4,1,1,[0 0 0 ... 0 0 0],3
1269,1269,CHEMBL1916543,0.2,COc1ncc2C=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,1,1,[0 0 0 ... 0 0 0],3
1562,1562,CHEMBL1916539,1.31,COc1ccc2C=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1,1,1,[0 0 0 ... 0 0 0],3
1617,1617,CHEMBL1916534,1.24,COc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1,1,1,[0 0 0 ... 0 0 0],3
1808,1808,CHEMBL1916544,-0.14,COc1ncc2N=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,1,1,[0 0 0 ... 0 0 0],3
2069,2069,CHEMBL1916541,0.29,COc1ccc2C(=NC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1)C,1,1,[0 0 0 ... 0 0 0],3
2390,2390,CHEMBL2164748,0.9,COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4cc5OCCOc5cn4)[C@H](O)C3)c2c1,1,1,[0 0 0 ... 0 0 0],3
2639,2639,CHEMBL2164741,0.45,O[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4cc5OCCOc5cn4,1,1,[0 0 0 ... 0 0 0],3
2730,2730,CHEMBL1916546,0.68,COc1cc2N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)C(=O)C=Cc2cn1,1,1,[0 0 0 ... 0 0 0],3
2745,2745,CHEMBL1916540,1.72,COc1ccc2C(=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1)C,1,1,[0 0 0 ... 0 0 0],3
2942,2942,CHEMBL2165060,1.25,CO[C@H]1CN(CCN2C(=O)C=Nc3ccc(OC)cc23)CC[C@@H]1NCc4cc5OCCOc5cn4,1,1,[0 0 0 ... 0 0 0],3
3034,3034,CHEMBL1916536,1.78,COc1ccc2SCC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1,1,1,[0 0 0 ... 0 0 0],3
3163,3163,CHEMBL2165058,1.05,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@@H]1NCc4cc5OCCOc5cn4,1,1,[0 0 0 ... 0 0 0],3
3437,3437,CHEMBL1916535,1.04,O=C1COc2ccccc2N1CCN3CCC(CC3)NCc4cc5OCCOc5cn4,1,1,[0 0 0 ... 0 0 0],3
3770,3770,CHEMBL1916542,0.93,COc1ccc2N=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1,1,1,[0 0 0 ... 0 0 0],3
3820,3820,CHEMBL1916545,1.16,COc1ccc2C=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,1,1,[0 0 0 ... 0 0 0],3
3906,3906,CHEMBL2164740,0.46,O[C@@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@@H]1NCc4cc5OCCOc5cn4,1,1,[0 0 0 ... 0 0 0],3
728,728,CHEMBL1223457,3.18,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccccc4CO,1,1,[0 0 0 ... 0 0 0],4
861,861,CHEMBL1222443,2.07,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4occc4,1,1,[0 0 0 ... 0 0 0],4
1495,1495,CHEMBL1223246,2.77,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccc(cc4)C(=O)N5CCOCC5,1,1,[0 0 0 ... 0 0 0],4
1749,1749,CHEMBL487274,2.35,CC1=CC2=NNC(=O)N2c3ccccc13,1,1,[0 0 0 ... 0 0 0],4
1853,1853,CHEMBL2012856,3.26,NC1=CC2=NNC(=O)N2c3cc(ccc13)c4cccs4,1,1,[0 0 0 ... 0 0 0],4
2718,2718,CHEMBL2012863,2.48,NC1=CC2=NNC(=O)N2c3cc(ccc13)c4occc4,1,1,[0 0 0 ... 0 0 0],4
3286,3286,CHEMBL1223528,2.13,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4cn[nH]c4,1,1,[0 0 0 ... 0 0 0],4
3308,3308,CHEMBL1223456,2.86,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccc(CO)cc4,1,1,[0 0 0 ... 0 0 0],4
3346,3346,CHEMBL1223458,2.29,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccncc4,1,1,[0 0 0 ... 0 0 0],4
3683,3683,CHEMBL2012857,3.18,NC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccsc4,1,1,[0 0 0 ... 0 0 0],4
3985,3985,CHEMBL1223459,2.72,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4cccnc4,1,1,[0 0 0 ... 0 0 0],4
4042,4042,CHEMBL1223455,3.36,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4cccc(CO)c4,1,1,[0 0 0 ... 0 0 0],4
1038,1038,CHEMBL1824606,3.85,Fc1ccccc1COc2cc(OCCCN3CCCC3)ccc2C(=O)Nc4ccccc4,1,1,[0 0 0 ... 0 0 0],5
1456,1456,CHEMBL1824608,3.67,Fc1cccc(COc2cc(OCCCN3CCCC3)ccc2C(=O)Nc4ccccc4)c1,1,1,[0 0 0 ... 0 0 0],5
1976,1976,CHEMBL1824371,3.15,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4cccc(F)c4)c1,1,1,[0 0 0 ... 0 0 0],5
1979,1979,CHEMBL1824373,2.41,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4cccc(c4)C#N)c1,1,1,[0 0 0 ... 0 0 0],5
2547,2547,CHEMBL1824369,2.34,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4ccccc4C#N)c1,1,1,[0 0 0 ... 0 0 0],5
2736,2736,CHEMBL1824364,3.2,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4ccc(F)cc4)c1,1,1,[0 0 0 ... 0 0 0],5
2940,2940,CHEMBL1824375,1.59,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4cccnc4)c1,1,1,[0 0 0 ... 0 0 0],5
3017,3017,CHEMBL1824377,1.56,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4cscn4)c1,1,1,[0 0 0 ... 0 0 0],5
3663,3663,CHEMBL1824363,3.07,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4ccccc4)c1,1,1,[0 0 0 ... 0 0 0],5
3804,3804,CHEMBL1824605,2.66,O=C(Nc1ccccc1)c2ccc(OCCCN3CCCC3)cc2OCc4ccccc4C#N,1,1,[0 0 0 ... 0 0 0],5
3980,3980,CHEMBL1824379,2.46,CCCOc1cc(OCCCN2CCCC2)ccc1C(=O)Nc3cccc(O)c3,1,1,[0 0 0 ... 0 0 0],5
4193,4193,CHEMBL1824376,1.78,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4ccccn4)c1,1,1,[0 0 0 ... 0 0 0],5
549,549,CHEMBL1829409,1.39,CCC(N(CCCN)C(=O)c1ccc(OC)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
771,771,CHEMBL2326523,2.88,CC(C)[C@H](N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3cc(Cl)ccc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
1074,1074,CHEMBL1829254,0.01,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4cccnc4,1,1,[0 1 0 ... 0 0 0],6
1639,1639,CHEMBL254192,1.47,Cc1ccc(cc1)C(=O)N(CCCN)CC2=Nc3cc(Cl)ccc3C(=O)N2Cc4ccccc4,1,1,[0 0 0 ... 0 0 0],6
1752,1752,CHEMBL1829249,2.32,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccc(Cl)cc4,1,1,[0 1 0 ... 0 0 0],6
2372,2372,CHEMBL1829422,1.37,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccoc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
2565,2565,CHEMBL1829442,4.14,CCC(NC(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
2632,2632,CHEMBL1829270,1.38,CCC(N(CCCN)C(=O)c1ccccc1)C2=Nc3ccsc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
2680,2680,CHEMBL1829261,1.33,CCC(N(CC1CCNCC1)C(=O)c2ccc(C)cc2)C3=Nc4ccsc4C(=O)N3Cc5ccccc5,1,1,[0 1 0 ... 0 0 0],6
2701,2701,CHEMBL1829408,2.72,CCC(N(CCCN)C(=O)c1ccc(cc1)C(C)C)C2=Nc3ccsc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
2754,2754,CHEMBL1829424,2.06,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3sccc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
2906,2906,CHEMBL1829250,1.69,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccc(C)cc4,1,1,[0 1 0 ... 0 0 0],6
3002,3002,CHEMBL1829251,2.15,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccc(OC)cc4,1,1,[0 1 0 ... 0 0 0],6
3252,3252,CHEMBL1829428,-0.04,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ncccc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
3288,3288,CHEMBL1829429,-0.14,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3nccnc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
3354,3354,CHEMBL1829246,1.81,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
3473,3473,CHEMBL1829416,2.56,CCC(N(CCCN)C(=O)c1ccc(C)nc1)C2=Nc3ccsc3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
3668,3668,CHEMBL1829257,0.02,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4cscn4,1,1,[0 1 0 ... 0 0 0],6
3696,3696,CHEMBL1829430,1.61,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3snc(C)c3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
3938,3938,CHEMBL1829423,1.8,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccn(C)c3C(=O)N2Cc4ccccc4,1,1,[0 1 0 ... 0 0 0],6
130,130,CHEMBL2171046,1.52,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl,1,1,[0 0 0 ... 0 0 0],7
197,197,CHEMBL2171034,1.79,Fc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
367,367,CHEMBL2171036,1.39,COc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
387,387,CHEMBL2171049,1.6,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4,1,1,[0 0 0 ... 0 0 0],7
460,460,CHEMBL2171042,1.84,Cc1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
600,600,CHEMBL2171014,2.0,CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(C)c4Cl,1,1,[0 0 0 ... 0 0 0],7
653,653,CHEMBL2171037,1.7,CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
764,764,CHEMBL2171024,1.23,OC(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
854,854,CHEMBL2171027,0.66,OC(=O)CCCS(=O)(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
1033,1033,CHEMBL2171040,0.89,COc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
1076,1076,CHEMBL2171023,1.73,OC(=O)c1ccccc1C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
1595,1595,CHEMBL2171050,0.75,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(F)c(F)c4,1,1,[0 0 0 ... 0 0 0],7
1686,1686,CHEMBL2171025,2.24,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(cc4)C5=NOC(=O)N5)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
1706,1706,CHEMBL2158815,2.23,OC(=O)C(N1CCC(CC1)N2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)c4ccccc4,1,1,[0 1 0 ... 0 0 0],7
1932,1932,CHEMBL2171041,1.74,CN(C)c1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
2053,2053,CHEMBL2171013,4.49,CN(C(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)S(=O)(=O)c4ccc(C)cc4,1,1,[0 0 0 ... 0 0 0],7
2061,2061,CHEMBL2171043,2.62,Clc1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
2127,2127,CHEMBL2171029,1.6,OC(=O)CCCCn1nnc(n1)c2ccc(cc2)C(=O)N3CCC(CC3)N4CCC(CC4)Oc5ccc(Cl)c(Cl)c5,1,1,[0 0 0 ... 0 0 0],7
2228,2228,CHEMBL2171048,1.79,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4C,1,1,[0 0 0 ... 0 0 0],7
2262,2262,CHEMBL2171020,3.51,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)C4=CNC(=O)c5ccccc45)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2514,2514,CHEMBL2171033,1.5,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2556,2556,CHEMBL2171215,2.13,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)Cc4ccccc4)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2618,2618,CHEMBL2171038,1.71,Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
