,Unnamed: 0,smiles,FDA_APPROVED,CT_TOX,target_actual,fp
538,538,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)OC(=O)c5ccccc5)C)O)F)C,1,0,0,[0 0 0 ... 0 0 0]
183,183,c1cc(ccc1C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])NCc2cnc3c(n2)c(=O)nc([nH]3)N,1,0,0,[0 1 0 ... 0 0 0]
55,55,C(CC(C(F)F)(C(=O)[O-])[NH3+])C[NH3+],1,0,0,[0 1 0 ... 0 0 0]
410,410,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC\2CC(C(C(CC(=O)CC(C(CCC(CC(CC(CC(=O)OC(C(C(C(/C=C/C=C/CC/C=C/C=C/C=C/C=C2)C)O)C)C)O)O)O)O)O)O)C(=O)[O-])O)O)[NH3+])O,1,0,0,[0 0 0 ... 0 0 0]
502,502,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(cc4)Cl)NC(=O)[C@@H](Cc5ccc6ccccc6c5)NC(=O)C,1,0,0,[0 1 0 ... 0 0 0]
1036,1036,Cc1ncc(n1CCO)[N+](=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
948,948,Cc1c(noc1N(C(=O)C)S(=O)(=O)c2ccc(cc2)N)C,1,0,0,[0 0 0 ... 0 0 0]
255,255,c1ccc(cc1)C(c2ccccc2)(C(=O)OC3CC4CCC(C3)[N+]45CCCC5)O,1,0,0,[0 0 0 ... 0 0 0]
880,880,CC1(C(=O)N(C(=O)N1)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-])C,1,0,0,[0 0 0 ... 0 0 0]
988,988,C=C1CC[C@]2([C@H]3Cc4ccc(c5c4[C@]2([C@H]1O5)CC[NH+]3CC6CC6)O)O,1,0,0,[0 0 0 ... 0 0 0]
542,542,C[C@H]1CCC=C([C@]12CC[C@H](C2)C(=C)C)C,1,0,0,[0 0 0 ... 0 1 0]
1241,1241,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,1,0,0,[0 1 0 ... 0 0 1]
1203,1203,CCCC[NH+](CCCC)CCC(c1cc2c(cc(cc2Cl)Cl)c3c1ccc(c3)C(F)(F)F)O,1,0,0,[0 1 0 ... 1 0 0]
962,962,Cc1c[nH]nc1,1,0,0,[0 0 0 ... 0 0 0]
893,893,Cc1c(c(c(c(c1C(=O)[O-])I)NC(=O)C)I)C(=O)NC,1,0,0,[0 0 0 ... 0 0 0]
946,946,Cc1c(nc[nH]1)CSCCN/C(=N/C#N)/NC,1,0,0,[0 0 0 ... 0 0 0]
998,998,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,1,1,1,[0 0 0 ... 0 0 0]
90,90,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C[NH3+])O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)[NH3+])O)[NH3+],1,0,0,[0 0 0 ... 0 0 0]
19,19,C#N,1,0,0,[0 0 0 ... 0 0 0]
939,939,Cc1c(ccnc1C[S@@](=O)c2[nH]c3ccccc3n2)OCC(F)(F)F,1,0,0,[0 0 0 ... 0 0 0]
556,556,C[N+]1(CCC(C1)OC(=O)C(c2ccccc2)(C3CCCC3)O)C,1,0,0,[0 0 0 ... 0 0 0]
83,83,C1[C@@H]([C@H]([C@@H]([C@H]([NH+]1CCO)CO)O)O)O,1,0,0,[0 0 0 ... 0 0 0]
773,773,CC(c1cccc(c1)C(=O)c2ccccc2)C(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
689,689,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[NH+]1C[C@H]([C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4)O,1,0,0,[0 1 0 ... 0 0 0]
1135,1135,CCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2[C@@H](CC4=CC(=O)C=C[C@]34C)Cl)O)C)C)OC(=O)CC,1,0,0,[0 0 0 ... 0 0 0]
576,576,C[NH+](C)CC[C@@H](c1ccc(cc1)Br)c2ccccn2,1,0,0,[0 1 0 ... 0 0 0]
344,344,c1ccnc(c1)[N-]S(=O)(=O)c2ccc(cc2)N,1,0,0,[0 0 0 ... 0 0 0]
550,550,C[N+](C)(C)CCOC(=O)N,1,0,0,[0 0 0 ... 0 0 0]
1430,1430,COC(=O)CCC(=O)C[NH3+],1,0,0,[0 0 0 ... 0 0 0]
349,349,c1cn(c(=O)nc1N)[C@H]2CC[C@H](O2)CO,1,0,0,[0 0 0 ... 0 0 0]
1019,1019,Cc1ccccc1N2CC[NH+](CC2)CCc3nnc4n3CCCC4,1,0,0,[0 0 0 ... 0 0 0]
445,445,C[C@]1(c2cccc(c2C(=O)C3=C([C@]4([C@@H]([C@H]([C@@H]31)O)[C@@H](C(=C(C4=O)C(=O)N)[O-])[NH+](C)C)O)[O-])[O-])O,1,0,0,[0 0 0 ... 0 0 0]
518,518,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)NC(=[NH2+])N)O)NC(=[NH2+])N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)[NH2+]C)(C=O)O,1,0,0,[0 0 0 ... 0 0 0]
483,483,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@]4(C)O)C)O)F,1,0,0,[0 0 0 ... 0 0 0]
300,300,c1ccc(cc1)CSCC2=NS(=O)(=O)c3cc(c(cc3N2)Cl)S(=O)(=O)N,1,0,0,[0 0 0 ... 0 0 0]
849,849,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,1,0,0,[0 0 0 ... 0 0 0]
1133,1133,CCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,1,0,0,[0 0 0 ... 0 0 0]
610,610,C[NH+]1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc4c3cc(cc4)OC,1,0,0,[0 0 0 ... 0 0 0]
296,296,c1ccc(cc1)CN2C3C[S+]4CCCC4C3N(C2=O)Cc5ccccc5,1,0,0,[1 0 0 ... 0 1 0]
1099,1099,CC\1=C(c2cc(ccc2/C1=C\c3ccc(cc3)S(=O)C)F)CC(=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
1199,1199,CCCc1nc(c2n1[nH]c(nc2=O)c3cc(ccc3OCC)S(=O)(=O)N4CC[NH+](CC4)CC)C,1,0,0,[0 0 0 ... 0 0 0]
1068,1068,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)[O-])O)O)O,1,0,0,[0 1 0 ... 0 0 0]
519,519,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(=O)CO)O)[NH3+])O,1,0,0,[0 0 0 ... 0 0 0]
32,32,C(=[NH2+])(N)N,1,0,0,[0 0 0 ... 0 0 0]
160,160,c1cc(c(cc1Cl)Cl)COC(Cn2ccnc2)c3ccc(cc3Cl)Cl,1,0,0,[0 1 0 ... 0 0 0]
1078,1078,CC[N+](CC)(CC)CCOc1cccc(c1OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC,1,0,0,[0 0 0 ... 0 0 0]
864,864,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)[O-])C,1,0,0,[0 0 0 ... 0 0 0]
123,123,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0,1,1,[0 1 0 ... 0 0 0]
1194,1194,CCCC(=O)OCOC(=O)C1=C(NC(=C(C1c2cccc(c2Cl)Cl)C(=O)OC)C)C,1,0,0,[0 0 0 ... 0 0 0]
1076,1076,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc3c1cccc3,1,0,0,[0 0 0 ... 0 0 0]
603,603,C[NH+](CCCl)CCCl,1,0,0,[0 0 0 ... 0 0 0]
4,4,[H]/[NH+]=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=[NH+]/[H])/N,1,0,0,[0 0 0 ... 0 0 0]
1061,1061,CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3CC(C(=O)CC3C(=O)N[C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)c4c(cccn4)O)C)c5ccccc5)CS[C@@H]6C[NH+]7CCC6CC7)Cc8ccc(cc8)N(C)C)C,1,0,0,[0 0 0 ... 0 0 0]
1427,1427,COC(=O)[C@H](c1ccccc1Cl)[NH+]2CCc3c(ccs3)C2,1,0,0,[0 1 0 ... 0 0 0]
664,664,CC(C)(C#N)c1cc(cc(c1)C(C)(C)C#N)Cn2cncn2,1,0,0,[1 0 0 ... 0 0 0]
35,35,C(C(C(=O)[O-])O)(C(=O)[O-])O,1,0,0,[0 1 0 ... 0 0 0]
1267,1267,CCCCOc1cc(ccc1N)C(=O)OCC[NH+](CC)CC,1,0,0,[0 0 0 ... 0 0 0]
681,681,CC(C)(C)C#C/C=C/C[NH+](C)Cc1cccc2c1cccc2,1,0,0,[0 0 0 ... 0 0 0]
53,53,C(C[NH3+])C(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],1,0,0,[0 0 0 ... 0 0 0]
900,900,Cc1c(c(c(c2c1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)OC(=O)C)C,1,0,0,[0 1 0 ... 0 0 0]
841,841,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C,1,0,0,[0 0 0 ... 0 0 0]
422,422,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F,1,0,0,[0 0 0 ... 0 0 0]
153,153,c1cc(c(cc1C(=O)Nc2c(cncc2Cl)Cl)OCC3CC3)OC(F)F,1,0,0,[0 1 0 ... 0 0 0]
489,489,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(CC#N)O,1,0,0,[0 0 0 ... 0 0 0]
1324,1324,CCOC(=O)C1(CC[NH+](CC1)CCc2ccc(cc2)N)c3ccccc3,1,0,0,[0 0 0 ... 0 0 0]
872,872,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)[NH3+])C(=O)[O-])C,1,0,0,[0 0 1 ... 0 0 0]
560,560,C[N+]1(CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5c6c(cc(c5OC)OC)CC[N+]([C@@H]6Cc7ccc(c(c7)O3)OC)(C)C)OC)C,1,0,0,[0 0 1 ... 0 0 0]
1356,1356,CN(C)/C=[NH+]/c1c(cc(c(c1I)CCC(=O)[O-])I)I,1,0,0,[0 0 0 ... 0 0 0]
744,744,CC(C)CC(C(=O)NC(CCC[NH+]=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(Cc2ccc(cc2)O)NC(=O)C(CO)NC(=O)C(Cc3c[nH]c4c3cccc4)NC(=O)C(Cc5cnc[nH]5)NC(=O)C6CCC(=O)N6,1,0,0,[0 1 0 ... 0 0 0]
868,868,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)[NH3+])C(=O)[O-])C,1,0,0,[0 1 0 ... 0 0 0]
481,481,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,1,0,0,[0 0 0 ... 0 0 0]
1093,1093,CC[NH+](CC)CCOC(=O)c1ccc(cc1Cl)N,1,0,0,[0 0 0 ... 0 0 0]
1191,1191,CCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C(=O)COC(=O)C,1,0,0,[0 0 0 ... 0 0 0]
321,321,c1ccc2c(c1)C(=O)NC2(c3ccc(c(c3)S(=O)(=O)N)Cl)O,1,0,0,[0 0 0 ... 0 0 0]
484,484,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,1,1,1,[0 0 0 ... 0 0 0]
212,212,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0,1,1,[0 0 1 ... 0 0 0]
1480,1480,O=[Ti]=O,1,0,0,[0 0 0 ... 0 0 0]
915,915,CC1=C(C(=O)C2=C(C1=O)[NH+]3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)[NH3+],1,0,0,[0 0 0 ... 0 1 0]
1003,1003,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F,1,0,0,[0 0 0 ... 0 0 0]
684,684,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)SC(C)(C)Sc2cc(c(c(c2)C(C)(C)C)O)C(C)(C)C,1,0,0,[0 0 0 ... 0 0 0]
1346,1346,CCOP(=O)(OCC)SCC[N+](C)(C)C,1,0,0,[0 0 0 ... 0 0 0]
532,532,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,1,0,0,[0 0 0 ... 0 0 0]
1331,1331,CCOC(=O)CCCCCCCCC(C)c1ccccc1I,1,0,0,[0 1 0 ... 0 0 0]
1141,1141,CCC1(C(=O)N(C(=O)O1)C)C,1,0,0,[0 0 0 ... 0 0 0]
54,54,C(C[NH3+])C[NH2+]CCSP(=O)([O-])[O-],1,0,0,[0 0 0 ... 0 0 0]
1185,1185,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,1,0,0,[0 1 0 ... 0 0 0]
879,879,CC1(C(C1C(=O)OCc2cccc(c2)Oc3ccccc3)C=C(Cl)Cl)C,1,0,0,[0 0 0 ... 0 0 0]
15,15,B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,0,1,1,[0 1 0 ... 0 0 0]
1314,1314,CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
541,541,C[C@H]1C[NH+](CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
192,192,c1cc(ccc1C[NH3+])S(=O)(=O)N,1,0,0,[0 0 0 ... 0 0 0]
496,496,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc3ccccc3)C(=O)N)NC(=O)[C@H](Cc4ccc(cc4)OS(=O)(=O)[O-])NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]5CCC(=O)N5)O,1,0,0,[1 1 0 ... 0 0 0]
778,778,CC(C[NH2+]C1CCCCC1)OC(=O)c2ccccc2,1,0,0,[0 1 1 ... 0 0 0]
433,433,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,1,0,0,[0 1 0 ... 0 0 0]
955,955,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](c5ccccc5)NC(=O)OC(C)(C)C)O)O)OC(=O)c6ccccc6)(CO4)OC(=O)C)OC)C)OC,1,0,0,[0 1 0 ... 0 0 0]
1386,1386,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](c4ccccc4)O)SC2)C(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
623,623,C[NH+]1CCC(CC1)COc2cc3c(cc2OC)c(ncn3)Nc4ccc(cc4F)Br,1,0,0,[0 0 0 ... 0 0 0]
1114,1114,CCC(c1ccccc1)c2c(c3ccccc3oc2=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
5,5,[N+](=O)([O-])[O-],1,0,0,[0 0 0 ... 0 0 0]
10,10,[O-]S(=O)(=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
395,395,C[C@@H](C(=O)N[C@@H](C)C(=O)NC1[C@H]2[C@@H]1CN(C2)c3c(cc4c(=O)c(cn(c4n3)c5ccc(cc5F)F)C(=O)[O-])F)[NH3+],1,0,0,[0 1 0 ... 0 0 0]
23,23,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,1,0,0,[0 0 0 ... 0 0 0]
906,906,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,1,0,0,[0 0 0 ... 0 0 0]
968,968,Cc1cc(c(cn1)C(=O)N[C@H](c2ccc(cc2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSc5nnnn5C)C(=O)[O-])O,1,0,0,[0 1 0 ... 0 0 0]
901,901,Cc1c(c(c(c2c1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C,1,0,0,[0 1 0 ... 0 0 0]
378,378,c1nc2c(n1COCCO)[nH]c(nc2=O)N,1,0,0,[0 0 0 ... 0 0 0]
335,335,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CC[NH+](CC4)CCO,1,0,0,[0 0 0 ... 0 0 0]
1042,1042,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4Cl)Cl,1,0,0,[0 0 0 ... 0 0 0]
225,225,c1cc2c(cc1C#N)c(c[nH]2)CCCC[NH+]3CCN(CC3)c4ccc5c(c4)cc(o5)C(=O)N,1,0,0,[0 0 0 ... 0 0 0]
1096,1096,CC[NH2+][C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)[NH2+]C)O)O)O[C@@H]3[C@@H](CC=C(O3)C[NH3+])[NH3+])[NH3+],1,0,0,[0 0 0 ... 0 0 0]
1017,1017,Cc1ccccc1C(=O)Nc2ccc(c(c2)C)C(=O)N3CCCC(c4c3ccc(c4)Cl)O,1,0,0,[0 0 0 ... 0 0 0]
188,188,c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)NC3=O)[N+](=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
1439,1439,COc1cc(cc(c1OC)OC)[C@@H]2c3cc4c(cc3[C@@H]([C@@H]5[C@@H]2C(=O)OC5)O)OCO4,1,0,0,[0 0 0 ... 0 0 0]
742,742,CC(C)C[C@@H](CC(=O)[O-])C[NH3+],1,0,0,[0 1 0 ... 0 0 0]
1363,1363,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,0,1,1,[0 0 0 ... 0 0 0]
403,403,C[C@@H](Cc1ccccc1)NC(=O)[C@H](CCCC[NH3+])[NH3+],1,0,0,[0 1 0 ... 0 0 0]
261,261,c1ccc(cc1)C(CC[NH+]2CCCCC2)(C3CCCC3)O,1,0,0,[0 0 1 ... 0 0 0]
1031,1031,Cc1cnc(c(c1OC)C)CS(=O)c2[nH]c3cc(ccc3n2)OC,1,0,0,[0 0 0 ... 0 0 0]
1312,1312,CCOC(=O)/C=C(\C)/C=C/C=C(\C)/C=C/c1c(cc(c(c1C)C)OC)C,1,0,0,[0 0 0 ... 0 0 0]
1144,1144,CCC1(C(=O)NCNC1=O)c2ccccc2,1,0,0,[0 0 0 ... 0 0 0]
219,219,c1cc2c(c(c1)N)CN(C2=O)C3CCC(=O)NC3=O,1,0,0,[0 0 1 ... 0 0 0]
783,783,CC(Cc1ccccc1)[NH2+]C,1,0,0,[0 1 0 ... 0 0 0]
143,143,c1cc(c(c(c1)Cl)NC2=[NH+]CCN2)Cl,1,0,0,[0 0 0 ... 0 0 0]
1021,1021,Cc1ccccc1S(=O)(=O)[N-]C(=O)c2ccc(c(c2)OC)Cc3cn(c4c3cc(cc4)NC(=O)OC5CCCC5)C,1,0,0,[0 0 0 ... 0 0 0]
193,193,c1cc(ccc1CCc2c[nH]c3c2c(=O)nc([nH]3)N)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
1473,1473,CS(=O)C,1,0,0,[0 0 0 ... 0 0 0]
1028,1028,Cc1cn(c(=O)[nH]c1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],1,0,0,[0 0 0 ... 0 0 0]
1184,1184,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,1,0,0,[0 1 0 ... 0 0 0]
1080,1080,CC[NH+](CC)C(C)C(=O)c1ccccc1,1,0,0,[0 1 0 ... 0 0 0]
2,2,[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,1,0,0,[0 1 0 ... 0 0 0]
1079,1079,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl,1,0,0,[0 0 0 ... 0 0 0]
86,86,C1[C@@H](NC(=[NH+][C@H]1O)N)[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C\\NC(=O)N)/C(=O)N2)CO)CO)NC(=O)C[C@H](CCC[NH3+])[NH3+],1,0,0,[0 1 0 ... 0 0 0]
571,571,C[NH+](C)C[C@H]1CCCC[C@@]1(c2cccc(c2)OC)O,1,0,0,[0 0 0 ... 0 0 0]
