,Unnamed: 0,smiles,FDA_APPROVED,CT_TOX,fp,cluster
676,676,CC(C)(C)[NH2+]CC(c1ccc(c(c1)CO)O)O,1,0,[0 1 0 ... 0 0 0],7
677,677,CC(C)(C)[NH2+]CC(c1ccc(c(n1)CO)O)O,1,0,[0 1 0 ... 0 0 0],7
682,682,CC(C)(C)C(=O)Oc1ccc(cc1OC(=O)C(C)(C)C)C(C[NH2+]C)O,1,0,[0 1 0 ... 0 0 0],7
713,713,CC(C)[NH2+]CC(c1cc(cc(c1)O)O)O,1,0,[0 1 0 ... 0 0 0],7
714,714,CC(C)[NH2+]CC(c1ccc(c(c1)O)O)O,1,0,[0 1 0 ... 0 0 0],7
715,715,CC(C)[NH2+]CC(c1ccc(cc1)NS(=O)(=O)C)O,1,0,[0 1 0 ... 0 0 0],7
780,780,CC(Cc1ccc(cc1)OC)[NH2+]CC(c2ccc(c(c2)NC=O)O)O,1,0,[0 1 0 ... 0 0 0],7
781,781,CC(Cc1ccc2c(c1)OCO2)[NH2+]CC(c3ccc(c(c3)O)O)O,1,0,[0 1 0 ... 0 0 0],7
785,785,CC(CCc1ccc(cc1)O)[NH2+]CCc2ccc(c(c2)O)O,1,0,[0 1 0 ... 0 0 0],7
786,786,CC(CCc1ccccc1)[NH2+]CC(c2ccc(c(c2)C(=O)N)O)O,1,0,[0 1 0 ... 0 0 0],7
989,989,Cc1ccc(c(c1)[C@H](CC[NH+](C(C)C)C(C)C)c2ccccc2)O,1,0,[0 1 0 ... 0 0 0],7
1052,1052,CC[C@@H](c1cccc(c1)O)[C@@H](C)C[NH+](C)C,1,0,[0 1 0 ... 0 0 0],7
1158,1158,CCc1cc2c(cc1CC)CC(C2)[NH2+]C[C@@H](c3ccc(c4c3ccc(=O)[nH]4)O)O,1,0,[0 1 0 ... 0 0 0],7
865,865,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)/[NH+]=C/N3CCCCCC3)C(=O)[O-])C,1,0,[0 0 1 ... 0 0 0],9
866,866,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N3C(=O)[C@H]([NH2+]C3(C)C)c4ccccc4)C(=O)[O-])C,1,0,[0 0 0 ... 0 0 0],9
867,867,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)[NH3+])C(=O)[O-])C,1,0,[0 1 0 ... 0 0 0],9
868,868,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)[NH3+])C(=O)[O-])C,1,0,[0 1 0 ... 0 0 0],9
869,869,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCNC4=O)C(=O)[O-])C,1,0,[0 1 0 ... 0 0 0],9
870,870,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccsc3)C(=O)[O-])C(=O)[O-])C,1,0,[0 1 0 ... 0 0 0],9
871,871,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(c3ccccc3)C(=O)[O-])C(=O)[O-])C,1,0,[0 1 0 ... 0 0 0],9
872,872,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)[NH3+])C(=O)[O-])C,1,0,[0 0 1 ... 0 0 0],9
873,873,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)c3c(cccc3OC)OC)C(=O)[O-])C,1,0,[0 0 0 ... 0 0 0],9
874,874,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)Cc3ccccc3)C(=O)[O-])C,1,0,[0 0 0 ... 0 0 0],9
875,875,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COc3ccccc3)C(=O)[O-])C,1,0,[0 0 0 ... 0 0 0],9
1305,1305,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](c2ccccc2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-],1,0,[0 1 0 ... 0 0 0],9
1336,1336,CCOC(=O)OC(C)OC(=O)[C@H]1C(S[C@H]2N1C(=O)[C@H]2NC(=O)[C@@H](c3ccccc3)[NH3+])(C)C,1,0,[0 1 0 ... 0 0 0],9
1341,1341,CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-],1,0,[0 0 0 ... 0 0 0],9
472,472,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,1,0,[0 0 0 ... 0 0 0],10
1062,1062,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,1,0,[0 0 0 ... 0 0 0],10
1064,1064,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,1,0,[0 0 0 ... 0 0 0],10
121,121,c1c(cc(c(c1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,1,0,[0 0 0 ... 0 0 0],11
192,192,c1cc(ccc1C[NH3+])S(=O)(=O)N,1,0,[0 0 0 ... 0 0 0],11
199,199,c1cc(ccc1N)S(=O)(=O)c2ccc(cc2)N,1,0,[0 0 0 ... 0 0 0],11
200,200,c1cc(ccc1N)S(=O)(=O)N,1,0,[0 0 0 ... 0 0 0],11
203,203,c1cc(ccc1NCS(=O)[O-])S(=O)(=O)c2ccc(cc2)NCS(=O)[O-],1,0,[0 0 0 ... 0 0 0],11
913,913,Cc1c(c(no1)c2ccccc2)c3ccc(cc3)S(=O)(=O)N,1,0,[0 0 0 ... 0 0 0],11
998,998,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,1,1,[0 0 0 ... 0 0 0],11
1338,1338,CCOC1=CC=C(C=C1)C2=CC(=CN2C3=CC=C(C=C3)S(=O)(=O)N)C,0,1,[0 0 0 ... 0 0 0],11
687,687,CC(C)(C)c1ccc(cc1)S(=O)(=O)[N-]c2c(c(nc(n2)c3ncccn3)OCCO)Oc4ccccc4OC,1,0,[0 0 0 ... 0 0 0],12
420,420,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F,1,0,[0 0 0 ... 0 0 0],13
421,421,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)OC(=O)c5ccco5)C)O)F)C)F,1,0,[0 0 0 ... 0 0 0],13
422,422,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F,1,0,[0 0 0 ... 0 0 0],13
424,424,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)c5ccco5)C)O)Cl)C,1,0,[0 0 0 ... 0 0 0],13
425,425,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,1,1,[0 0 0 ... 0 0 0],13
426,426,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C,1,0,[0 0 0 ... 0 0 0],13
427,427,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)CO)C)O)F)C,1,0,[0 0 0 ... 0 0 0],13
450,450,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,1,0,[0 0 0 ... 0 0 0],13
531,531,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F,1,0,[0 0 0 ... 0 0 0],13
532,532,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,1,0,[0 0 0 ... 0 0 0],13
533,533,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)OC(=O)C,1,0,[0 0 0 ... 0 0 0],13
537,537,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,1,0,[0 0 0 ... 0 0 0],13
538,538,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)OC(=O)c5ccccc5)C)O)F)C,1,0,[0 0 0 ... 0 0 0],13
539,539,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C,1,0,[0 0 0 ... 0 0 0],13
540,540,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@H]3C(=O)C[C@@]2([C@]1(C(=O)CO)O)C)C,1,0,[0 0 0 ... 0 0 0],13
849,849,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,1,0,[0 0 0 ... 0 0 0],13
1127,1127,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,1,0,[0 0 0 ... 0 0 0],13
1128,1128,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl,1,0,[0 0 0 ... 0 0 0],13
1129,1129,CCC(=O)O[C@@]1([C@H](CC2C1(CC([C@]3(C2C[C@@H](C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)CCl,1,0,[0 0 0 ... 0 0 0],13
1135,1135,CCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2[C@@H](CC4=CC(=O)C=C[C@]34C)Cl)O)C)C)OC(=O)CC,1,0,[0 0 0 ... 0 0 0],13
