,Unnamed: 0,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,binned_sol,fp
997,997,Pyrazon,-2.603,1,221.647,1,2,1,60.91,-2.878,Nc2cnn(c1ccccc1)c(=O)c2Cl,0,[0 0 0 ... 0 0 0]
1025,1025,Sucrose,0.31,1,342.297,8,2,5,189.53,0.79,OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O ,1,[1 0 0 ... 0 0 0]
699,699,"1,3-Dinitrobenzene",-2.281,1,168.10799999999995,0,1,2,86.28,-2.29,O=N(=O)c1cccc(c1)N(=O)=O,0,[0 0 0 ... 0 0 0]
596,596,Estragole,-3.074,1,148.205,0,1,3,9.23,-2.92,c1(OC)ccc(CC=C)cc1,0,[0 0 0 ... 0 0 0]
406,406,benzylurea,-1.509,1,150.18099999999998,2,1,2,55.120000000000005,-0.95,NC(=O)NCc1ccccc1 ,1,[0 0 0 ... 0 0 0]
794,794,Acetophenone,-2.0780000000000003,1,120.15099999999995,0,1,1,17.07,-1.28,CC(=O)c1ccccc1,0,[0 0 0 ... 0 0 0]
700,700,Ethion,-5.471,1,384.4870000000002,0,0,12,36.92,-5.54,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,0,[0 0 0 ... 0 0 0]
533,533,sulfaguanidine,-0.706,1,214.25,4,1,2,122.06,-1.99,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,0,[0 0 0 ... 0 0 0]
530,530,RTI 10,-2.7710000000000004,1,226.235,0,3,0,42.43,-3.672,O2c1ccccc1N(C)C(=O)c3cccnc23 ,0,[0 0 0 ... 0 0 0]
526,526,2-Methylpropene,-1.5730000000000002,1,56.108,0,0,0,0.0,-2.33,CC(=C)C,0,[0 0 0 ... 0 1 0]
622,622,Fluridone,-4.249,1,329.321,0,3,2,22.0,-4.445,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,0,[0 0 0 ... 0 0 0]
678,678,meconin,-0.825,1,196.202,0,2,2,44.760000000000005,-1.899,c1c(OC)c(OC)C2C(=O)OCC2c1,0,[0 0 0 ... 0 0 0]
966,966,Corticosterone,-3.454,1,346.46700000000016,2,4,2,74.6,-3.24,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,0,[0 0 0 ... 0 0 0]
818,818,Di-n-propylsulfide,-2.307,1,118.245,0,0,4,0.0,-2.58,CCCSCCC,0,[0 0 0 ... 0 0 0]
728,728,oxyphenbutazone,-3.739,1,324.38000000000005,1,3,5,60.85000000000001,-3.73,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 ,0,[0 0 0 ... 0 0 0]
810,810,Tetrahydropyran ,-0.978,2,86.134,0,1,0,9.23,-0.03,C1CCOCC1,1,[0 0 1 ... 0 0 0]
863,863,Vinclozolin,-4.377,1,286.11400000000003,0,2,2,46.61,-4.925,CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C,0,[0 0 0 ... 0 0 0]
722,722,Tetrabromomethane,-4.063,1,331.62699999999995,0,0,0,0.0,-3.14,BrC(Br)(Br)Br,0,[0 0 0 ... 0 0 0]
746,746,Diazepam,-4.05,1,284.74600000000004,0,3,1,32.67,-3.754,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,0,[0 0 0 ... 0 0 0]
568,568,p-benzidine,-2.613,1,184.242,2,2,1,52.04,-2.7,Nc1ccc(cc1)c2ccc(N)cc2,0,[0 0 0 ... 0 0 0]
247,247,"1,2,4-Trichlorobenzene",-4.083,1,181.449,0,1,0,0.0,-3.59,Clc1ccc(Cl)c(Cl)c1,0,[0 0 0 ... 0 0 0]
298,298,Raffinose,0.496,1,504.4380000000001,11,3,8,268.67999999999995,-0.41,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,1,[1 0 0 ... 0 0 0]
646,646,Ronnel,-5.247000000000001,1,321.549,0,1,4,27.69,-5.72,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,0,[0 0 0 ... 0 0 0]
557,557,Dihexyl phthalate,-5.757999999999999,1,334.45600000000024,0,1,12,52.60000000000001,-6.144,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,0,[0 0 0 ... 0 0 0]
996,996,bromopropylate,-5.832999999999999,1,428.12000000000006,1,2,4,46.53,-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 ,0,[0 1 0 ... 0 0 0]
669,669,cytosine,0.051,1,111.104,2,1,0,71.77000000000001,-1.155,Nc1cc[nH]c(=O)n1 ,0,[0 0 0 ... 0 0 0]
342,342,3-Methylphenol,-2.313,1,108.14,1,1,0,20.23,-0.68,Cc1cccc(O)c1,1,[0 0 0 ... 0 0 0]
239,239,4-Chlorophenol ,-2.761,1,128.558,1,1,0,20.23,-0.7,Oc1ccc(Cl)cc1,1,[0 0 0 ... 0 0 0]
762,762,2-Methy-2-Butene,-1.994,1,70.13499999999999,0,0,0,0.0,-2.56,CC=C(C)C,0,[0 0 0 ... 0 0 0]
713,713,Isopropyl acetate,-1.1909999999999998,1,102.133,0,0,1,26.3,-0.55,CC(C)OC(=O)C,1,[0 1 0 ... 0 0 0]
592,592,piroxicam,-3.4730000000000003,1,331.353,2,3,2,99.6,-4.16,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,0,[0 0 0 ... 0 0 0]
1089,1089,Mefluidide,-3.165,1,310.297,2,1,3,75.27000000000001,-3.24,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,0,[0 0 0 ... 0 0 0]
14,14,Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC,0,[0 0 0 ... 0 0 0]
553,553,1-Iodobutane,-2.841,1,184.02,0,0,2,0.0,-2.96,CCCCI,0,[0 0 0 ... 0 0 0]
613,613,1-Nonanol,-2.46,1,144.258,1,0,7,20.23,-3.01,CCCCCCCCCO,0,[0 0 0 ... 0 0 0]
985,985,Carbetamide,-2.29,1,236.271,2,1,4,67.42999999999999,-1.83,c1c(NC(=O)OC(C)C(=O)NCC)cccc1,0,[0 1 0 ... 0 0 0]
866,866,Dienestrol,-4.775,1,266.34,2,2,3,40.46,-4.95,CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,0,[0 0 0 ... 0 0 0]
196,196,1-Hexyne ,-1.801,1,82.14599999999999,0,0,2,0.0,-2.36,CCCCC#C,0,[0 0 0 ... 0 1 0]
27,27,Butethal,-1.974,1,212.249,2,1,4,75.27000000000001,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O,0,[0 0 0 ... 0 0 0]
626,626,"1,2-Propylene oxide",-0.358,1,58.08,0,1,0,12.53,-0.59,CC1CO1,1,[0 0 0 ... 0 0 0]
574,574,Pebulate,-3.131,1,203.351,0,0,6,20.31,-3.53,CCCCN(CC)C(=O)SCCC,0,[0 0 0 ... 0 0 0]
764,764,"2,4,5-Trichlorophenol ",-3.78,1,197.448,1,1,0,20.23,-2.21,Oc1cc(Cl)c(Cl)cc1Cl,0,[0 0 0 ... 0 0 0]
75,75,Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92,CC(C)CCOC(=O)C,0,[0 1 0 ... 0 0 0]
267,267,1-Bromobutane,-2.303,1,137.01999999999998,0,0,2,0.0,-2.37,CCCCBr,0,[0 0 0 ... 0 0 0]
1074,1074,Isobutylbenzene,-3.57,1,134.22199999999998,0,1,2,0.0,-4.12,CC(C)Cc1ccccc1,0,[0 1 0 ... 0 0 0]
667,667,1-Butene,-1.655,1,56.108,0,0,1,0.0,-1.94,CCC=C,0,[0 0 0 ... 0 0 0]
833,833,Benfluralin,-5.205,1,335.28200000000004,0,1,7,89.51999999999998,-5.53,CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,0,[0 0 0 ... 0 0 0]
987,987,Cycluron,-2.629,1,198.30999999999992,1,1,1,32.34,-2.218,CN(C)C(=O)NC1CCCCCCC1,0,[0 0 1 ... 0 0 0]
930,930,Hexamethylbenzene,-4.361000000000001,1,162.27599999999998,0,1,0,0.0,-5.23,Cc1c(C)c(C)c(C)c(C)c1C,0,[0 0 0 ... 0 0 0]
1011,1011,3-Methylheptane,-3.3080000000000003,1,114.232,0,0,4,0.0,-5.16,CCCCC(C)CC,0,[0 1 0 ... 0 0 0]
70,70,nitrofurantoin,-1.243,1,238.159,1,2,3,118.04999999999998,-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,0,[0 0 0 ... 0 0 0]
386,386,aminothiazole,-1.226,1,100.146,1,1,0,38.91,-0.36,Nc1nccs1 ,1,[0 0 0 ... 0 0 0]
857,857,thioanisole,-2.87,1,124.208,0,1,1,0.0,-2.39,c1ccccc1SC,0,[0 0 0 ... 0 0 0]
457,457,"3,4-Dichlorophenol",-3.352,1,163.003,1,1,0,20.23,-1.25,Oc1ccc(Cl)c(Cl)c1,0,[0 0 0 ... 0 0 0]
624,624,Estrone,-3.872,1,270.372,1,4,0,37.3,-3.955,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,0,[0 0 0 ... 0 0 0]
492,492,"1,3,5-Trinitrobenzene",-2.324,1,213.105,0,1,3,129.42000000000002,-2.89,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,0,[0 0 0 ... 0 0 0]
315,315,Anethole,-3.254,1,148.20499999999998,0,1,2,9.23,-3.13,COc1ccc(C=CC)cc1,0,[0 0 0 ... 0 0 0]
676,676,Benzo[ghi]perylene,-6.446000000000001,2,276.338,0,6,0,0.0,-9.018,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,0,[0 0 0 ... 0 0 0]
435,435,1-Octanol,-2.105,1,130.23100000000002,1,0,6,20.23,-2.39,CCCCCCCCO,0,[0 0 0 ... 0 0 0]
31,31,Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,0,[0 0 0 ... 0 0 0]
142,142,Trichloroethylene,-2.312,1,131.389,0,0,0,0.0,-1.96,ClC=C(Cl)Cl,0,[0 0 0 ... 0 0 0]
1039,1039,Spironolactone,-3.842,1,416.58300000000025,0,5,1,60.44,-4.173,CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,0,[0 0 0 ... 0 0 0]
856,856,Isobutyl formate,-1.095,1,102.13299999999998,0,0,3,26.3,-1.01,CC(C)COC=O,0,[0 1 0 ... 0 0 0]
625,625,RTI 17,-4.227,1,269.373,0,3,1,19.37,-4.706,CCN2c1ccccc1N(C)C(=S)c3cccnc23 ,0,[0 0 0 ... 0 0 0]
251,251,Dimethyl sulfide,-0.758,1,62.137,0,0,0,0.0,-0.45,CSC,1,[0 0 0 ... 0 0 0]
440,440,p-Nitroaniline,-1.936,1,138.126,1,1,1,69.16,-2.37,Nc1ccc(cc1)N(=O)=O,0,[0 0 0 ... 0 0 0]
270,270,cycloate,-3.35,1,215.362,0,1,3,20.31,-3.4,CCSC(=O)N(CC)C1CCCCC1 ,0,[0 0 1 ... 0 0 0]
998,998,2-Methylbutan-2-ol,-0.954,1,88.14999999999998,1,0,1,20.23,0.15,CCC(C)(C)O,1,[0 0 0 ... 0 0 0]
361,361,p-Fluoroacetanilide,-2.181,1,153.156,1,1,1,29.1,-1.78,CC(=O)Nc1ccc(F)cc1,0,[0 0 0 ... 0 0 0]
608,608,"3,3-Dimethyl-2-butanol",-1.2919999999999998,1,102.177,1,0,0,20.23,-0.62,CC(O)C(C)(C)C,1,[0 1 0 ... 0 0 0]
513,513,2-methoxypteridine,-1.589,1,162.152,0,2,1,60.790000000000006,-1.11,COc2ncc1nccnc1n2,0,[0 0 0 ... 0 0 0]
431,431,Cyclohexane,-2.477,2,84.162,0,1,0,0.0,-3.1,C1CCCCC1,0,[0 0 1 ... 0 0 0]
661,661,"2,2',3,4,4',5',6-PCB",-7.898,1,395.3270000000001,0,2,1,0.0,-7.92,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,0,[0 0 0 ... 0 0 0]
124,124,1-Decene,-3.781,1,140.26999999999998,0,0,7,0.0,-5.51,CCCCCCCCC=C,0,[0 0 0 ... 0 0 0]
34,34,1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22,Cc1cccc2c1Cc3ccccc32,0,[0 0 0 ... 0 0 0]
159,159,4-Chlorotoluene,-3.297,1,126.586,0,1,0,0.0,-3.08,Cc1ccc(Cl)cc1,0,[0 0 0 ... 0 0 0]
918,918,guanine,-0.67,1,151.129,3,2,0,100.45,-3.583,Nc2nc1[nH]cnc1c(=O)[nH]2 ,0,[0 0 0 ... 0 0 0]
413,413,p-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-0.74,Oc1ccc(cc1)N(=O)=O,1,[0 0 0 ... 0 0 0]
892,892,3-Octanol,-2.033,1,130.23099999999997,1,0,5,20.23,-1.98,CCCCCC(O)CC,0,[0 1 0 ... 0 0 0]
923,923,Dibutyl ether ,-2.135,1,130.231,0,0,6,9.23,-1.85,CCCCOCCCC,0,[0 0 0 ... 0 0 0]
1069,1069,o-Methoxyphenol,-1.941,1,124.13899999999995,1,1,1,29.46,-1.96,COc1ccccc1O,0,[0 0 0 ... 0 0 0]
1034,1034,RTI 20,-3.663,1,255.292,0,3,2,20.31,-4.799,C2c1ccccc1N(CCF)C(=O)c3ccccc23 ,0,[0 0 0 ... 0 0 0]
362,362,alachlor,-3.319,1,269.77199999999993,0,1,6,29.54,-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl ,0,[0 0 0 ... 0 0 0]
58,58,6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14,0,[0 0 0 ... 0 0 0]
187,187,"1,2,3,5-Tetrachlorobenzene",-4.621,1,215.894,0,1,0,0.0,-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1,0,[0 0 0 ... 0 0 0]
482,482,Fluvalinate,-8.057,1,502.9200000000002,1,3,8,71.35,-8.003,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,0,[0 1 0 ... 0 0 0]
283,283,2-Ethyltoluene,-3.2960000000000003,1,120.19499999999996,0,1,1,0.0,-3.21,CCc1ccccc1C,0,[0 0 0 ... 0 0 0]
741,741,p-Toluenesulfonamide ,-1.815,1,171.22099999999998,1,1,1,60.16,-1.74,Cc1ccc(cc1)S(=O)(=O)N,0,[0 0 0 ... 0 0 0]
1054,1054,1-Methylphenanthrene,-4.87,1,192.261,0,3,0,0.0,-5.85,Cc1cccc2c1ccc3ccccc32,0,[0 0 0 ... 0 0 0]
548,548,"Hexachloro-1,3-butadiene",-4.546,1,260.762,0,0,1,0.0,-4.92,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,0,[0 0 0 ... 0 0 0]
751,751,Heptane,-2.97,1,100.205,0,0,4,0.0,-4.53,CCCCCCC,0,[0 0 0 ... 0 0 0]
999,999,p-Cresol,-2.313,1,108.14,1,1,0,20.23,-0.73,Cc1ccc(O)cc1,1,[0 0 0 ... 0 0 0]
204,204,Propetamphos,-2.826,1,281.314,1,0,7,56.790000000000006,-3.408,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,0,[0 1 0 ... 0 0 0]
467,467,Benzotriazole,-2.21,2,119.127,1,2,0,41.57,-0.78,c2ccc1[nH]nnc1c2,1,[0 0 0 ... 0 1 0]
192,192,Propoxur,-2.4090000000000003,1,209.245,1,1,3,47.56,-2.05,CNC(=O)Oc1ccccc1OC(C)C,0,[0 1 0 ... 0 0 0]
704,704,p-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.66,Nc1ccc(Cl)cc1,0,[0 0 0 ... 0 0 0]
249,249,"1,2-Benzenediol",-1.635,1,110.11199999999998,2,1,0,40.46,0.62,Oc1ccccc1O,1,[0 0 0 ... 0 0 0]
786,786,1-Pentyne,-1.446,1,68.11899999999999,0,0,1,0.0,-1.64,CCCC#C,0,[0 0 0 ... 0 0 0]
420,420,Progesterone,-4.17,1,314.46900000000005,0,4,1,34.14,-4.42,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0,[0 0 0 ... 0 0 0]
85,85,Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0,[0 0 0 ... 0 0 0]
1126,1126,2-Methylbutane,-2.245,1,72.151,0,0,1,0.0,-3.18,CCC(C)C,0,[0 1 0 ... 0 0 0]
477,477,1-Bromohexane,-3.012,1,165.074,0,0,4,0.0,-3.81,CCCCCCBr,0,[0 0 0 ... 0 0 0]
982,982,Trifluralin,-5.205,1,335.28200000000004,0,1,7,89.51999999999998,-5.68,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,0,[0 0 0 ... 0 0 0]
18,18,Diazinon,-3.989,1,304.35200000000003,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,0,[0 1 0 ... 0 0 0]
1,1,Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2,0,[0 0 0 ... 0 0 0]
268,268,"1,2,4,5-Tetrabromobenzene",-6.001,1,393.698,0,1,0,0.0,-6.98,Brc1cc(Br)c(Br)cc1Br,0,[0 0 0 ... 0 0 0]
690,690,"3,3-Dimethyl-1-butanol",-1.365,1,102.177,1,0,1,20.23,-0.5,CC(C)(C)CCO,1,[0 0 0 ... 0 0 0]
487,487,Phenylmethanol,-1.699,1,108.13999999999996,1,1,1,20.23,-0.4,OCc1ccccc1,1,[0 0 0 ... 0 0 0]
443,443,Chlorobenzene,-2.975,1,112.55899999999995,0,1,0,0.0,-2.38,Clc1ccccc1,0,[0 0 0 ... 0 0 0]
60,60,"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.77200000000016,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,0,[0 0 0 ... 0 0 0]
418,418,phenylbutazone,-4.0760000000000005,1,308.38100000000003,0,3,5,40.620000000000005,-3.81,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,0,[0 0 0 ... 0 0 0]
198,198,2-Chlorotoluene,-3.297,1,126.586,0,1,0,0.0,-3.52,Cc1ccccc1Cl,0,[0 0 0 ... 0 0 0]
830,830,4-Bromotoluene,-3.667,1,171.03700000000003,0,1,0,0.0,-3.19,Cc1ccc(Br)cc1,0,[0 0 0 ... 0 0 0]
432,432,Dienochlor,-7.848,1,474.64,0,2,1,0.0,-7.278,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,0,[0 0 0 ... 0 0 0]
783,783,1-Tetradecanol,-4.231,1,214.393,1,0,12,20.23,-5.84,CCCCCCCCCCCCCCO,0,[0 0 0 ... 0 0 0]
861,861,Bendroflumethiazide,-3.741,1,421.4220000000001,3,3,3,118.36,-3.59,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,0,[0 0 0 ... 0 0 0]
796,796,Triethyl phosphate,-0.953,1,182.156,0,0,6,44.760000000000005,0.43,CCOP(=O)(OCC)OCC,1,[0 0 0 ... 0 0 0]
900,900,butallylonal,-2.766,1,303.156,2,1,4,75.27000000000001,-2.647,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O ,0,[0 1 0 ... 0 1 0]
183,183,Chloroacetonitrile,-0.4479999999999999,1,75.498,0,0,0,23.79,-0.092,ClCC#N,1,[0 0 0 ... 0 0 0]
272,272,Deltamethrin,-7.44,1,505.2060000000002,0,3,6,59.32000000000001,-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,0,[0 1 0 ... 0 0 0]
395,395,3-Hexanone,-1.266,1,100.161,0,0,3,17.07,-0.83,CCCC(=O)CC,1,[0 0 0 ... 0 0 0]
980,980,"1,4-Difluorobenzene",-2.636,1,114.094,0,1,0,0.0,-1.97,Fc1ccc(F)cc1,0,[0 0 0 ... 0 0 0]
294,294,Chlorimuron-ethyl (ph 7),-3.719,1,414.82700000000017,1,2,8,127.79,-4.5760000000000005,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,0,[0 0 0 ... 0 0 0]
422,422,captafol,-4.365,1,349.06600000000014,0,2,3,37.38,-5.4,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,0,[0 1 0 ... 0 0 0]
55,55,2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62,Cc1ccccc1O,1,[0 0 0 ... 0 0 0]
308,308,"3,4-Dichloronitrobenzene",-3.448,1,192.001,0,1,1,43.14,-3.2,O=N(=O)c1cc(Cl)c(Cl)cc1,0,[0 0 0 ... 0 0 0]
1000,1000,Ethyl formate,-0.402,1,74.07900000000001,0,0,2,26.3,0.15,CCOC=O,1,[0 0 0 ... 0 0 0]
352,352,Chlorodibromethane,-2.54,1,208.28,0,0,0,0.0,-1.9,ClC(Br)Br,0,[0 1 0 ... 0 0 0]
897,897,Ethylbenzene,-2.988,1,106.16799999999996,0,1,1,0.0,-2.77,CCc1ccccc1,0,[0 0 0 ... 0 0 0]
784,784,"2,3,6-Trichlorophenol",-3.572,1,197.448,1,1,0,20.23,-2.64,Oc1c(Cl)ccc(Cl)c1Cl,0,[0 0 0 ... 0 0 0]
511,511,"Sparsomycin (3,8mg/ml)",-1.57,1,361.4450000000001,4,1,8,132.11999999999998,-1.981,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,0,[0 1 0 ... 0 0 0]
103,103,Dichloromethane,-1.156,1,84.93299999999999,0,0,0,0.0,-0.63,ClCCl,1,[0 0 0 ... 0 0 0]
718,718,Coronene,-6.885,2,300.36000000000007,0,7,0,0.0,-9.332,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,0,[0 0 0 ... 0 0 0]
15,15,2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,CC(C)Cl,0,[0 1 0 ... 0 0 0]
955,955,"1,4-Cyclohexadiene",-1.842,2,80.12999999999998,0,1,0,0.0,-2.06,C1C=CCC=C1,0,[0 0 0 ... 0 0 0]
789,789,Acetanilide,-1.857,1,135.16599999999997,1,1,1,29.1,-1.33,CC(=O)Nc1ccccc1,0,[0 0 0 ... 0 0 0]
827,827,Monolinuron,-2.948,1,214.652,1,1,2,41.57,-2.57,CON(C)C(=O)Nc1ccc(Cl)cc1,0,[0 0 0 ... 0 0 0]
546,546,ampyrone,-1.192,1,203.245,1,2,1,52.95,-0.624,Cc2c(N)c(=O)n(c1ccccc1)n2C,1,[0 0 0 ... 0 0 0]
1082,1082,tetramethylurea,-0.495,1,116.164,0,0,0,23.550000000000004,0.94,CN(C)C(=O)N(C)C ,1,[0 0 0 ... 0 0 0]
759,759,DEF,-4.074,1,314.5220000000001,0,0,12,17.07,-5.14,CCCCSP(=O)(SCCCC)SCCCC,0,[0 0 0 ... 0 0 0]
485,485,Trichlorfon,-1.866,1,257.437,1,0,3,55.760000000000005,-0.22,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1,[0 1 0 ... 0 0 0]
402,402,Pentachlorophenol,-4.835,1,266.338,1,1,0,20.23,-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,[0 0 0 ... 0 0 0]
905,905,Buturon,-3.199,1,236.702,1,1,2,32.34,-3.9,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,0,[0 1 0 ... 0 0 0]
