,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,fp
2914,2914,CHEMBL113014,2.15,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)NCc3ccccn3)C(=O)C(F)(F)F,1,[0 1 0 ... 0 0 0]
2111,2111,CHEMBL269538,2.9,COc1ccc2c(c1)[nH]c3c(C)nccc23,1,[0 0 0 ... 0 0 0]
1411,1411,CHEMBL402934,3.9,Clc1ccc2OCOc2c1Nc3ccnc(Nc4ccccc4)n3,1,[0 0 0 ... 0 0 0]
3587,3587,CHEMBL1209657,3.98,Fc1ccc(cc1Cl)S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,1,[0 1 1 ... 0 0 0]
3511,3511,CHEMBL1881806,0.74,NC(=O)c1nnn(c1N)c2ccccc2,1,[0 0 0 ... 0 0 0]
3618,3618,CHEMBL2022881,1.52,COc1ccc(cc1)c2cc(O)nc(N)n2,1,[0 0 0 ... 0 0 0]
2781,2781,CHEMBL2171277,3.9,Cc1ccc(NC(=O)[C@H]2CCCN2S(=O)(=O)c3cccc4cccnc34)c(C)c1,1,[0 0 0 ... 0 0 0]
3693,3693,CHEMBL2158822,2.83,OC(=O)c1ccccc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1,[0 0 0 ... 0 0 0]
3213,3213,CHEMBL271013,3.12,C[C@H](CO)Nc1nc(SCc2ccccc2)nc3nc(N)sc13,1,[0 1 0 ... 0 0 0]
1572,1572,CHEMBL1170,3.3,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,[0 0 0 ... 0 0 0]
1114,1114,CHEMBL2031466,1.56,CC(C)NC(=O)c1ccc(C)c(c1)N2C=Nc3ccc(cc3C2=O)N4CCN(C)CC4,1,[0 1 0 ... 0 0 0]
3162,3162,CHEMBL319136,3.6,CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2,1,[0 1 0 ... 0 0 0]
347,347,CHEMBL1382733,1.2,Cn1c(nc2ccccc12)c3ccc(O)nc3,1,[0 0 0 ... 0 0 0]
189,189,CHEMBL1987793,3.89,Cc1ccccc1c2c(C(=O)O)n(CCCOc3cccc4ccccc34)c5ccccc25,1,[0 0 0 ... 0 0 0]
4195,4195,CHEMBL496929,3.85,OCCc1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1,1,[0 0 0 ... 0 0 0]
2935,2935,CHEMBL1477,1.72,COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C,1,[0 1 0 ... 0 0 0]
2638,2638,CHEMBL861,1.59,CCC1(NC(=O)N(C)C1=O)c2ccccc2,1,[0 0 0 ... 0 0 0]
3364,3364,CHEMBL170307,1.78,CC(=O)NCc1ccc(CN2CCN(CC2)c3ccccc3)cc1,1,[0 0 0 ... 0 0 0]
45,45,CHEMBL1234354,2.2,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,1,[0 0 0 ... 0 1 0]
2359,2359,CHEMBL1598315,1.23,CNC(=O)c1snnc1c2ccccc2,1,[0 0 0 ... 0 0 0]
1332,1332,CHEMBL1475400,1.69,Oc1cc(OCc2ccccc2)ccn1,1,[0 0 0 ... 0 0 0]
2553,2553,CHEMBL355236,2.8,CCCc1c(O)c(ccc1OCc2ccc(cc2OC)c3nn[nH]n3)C(=O)C,1,[0 0 0 ... 0 0 0]
3215,3215,CHEMBL2086694,2.85,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4noc(n4)C(F)F,1,[0 1 0 ... 0 0 0]
2249,2249,CHEMBL402728,1.73,C[C@H](CO)Nc1nc(SCc2csc(C)n2)nc3NC(=O)Sc13,1,[0 1 0 ... 0 0 0]
2019,2019,CHEMBL1451129,2.7,CC1=CC(=O)Oc2cc3NCCCc3cc12,1,[0 0 0 ... 0 0 0]
3894,3894,CHEMBL2017291,3.15,COc1cc2c3N([C@H](C)c4ccccn4)C(=O)Nc3cnc2cc1c5c(C)onc5C,1,[0 1 0 ... 0 0 0]
3878,3878,CHEMBL453222,2.34,COCCOc1ccc(cc1)c2cc(C(=O)N)c(NC(=O)N)s2,1,[0 0 0 ... 0 0 0]
1236,1236,CHEMBL2170837,4.2,CCn1c(C)c(C(=O)O)c(c2cccc(c2)N3CCN(CC3)c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(O)CC6)CSc7ccccc7)c(c5)S(=O)(=O)C(F)(F)F)cc4)c1c8ccc(Cl)cc8,1,[0 1 0 ... 0 0 0]
378,378,CHEMBL403812,1.69,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncc(CN4CCC4)cc3F,1,[0 0 0 ... 0 0 0]
3435,3435,CHEMBL1683689,3.05,CC(C)[C@@H]1N=C(c2ccccc2)c3ccccc3NC1=O,1,[0 1 0 ... 0 0 0]
888,888,CHEMBL2170985,0.9,Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)NCc4ccccc4)[C@@H](O)[C@H]3O,1,[0 0 0 ... 0 0 0]
817,817,CHEMBL1809200,3.5,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4c(OC)cccn34)N5CCN(CC5)C(=O)C,1,[0 0 0 ... 0 0 0]
3142,3142,CHEMBL201800,3.1,Nc1nc2nc(SCc3ccccc3)nc(N)c2s1,1,[0 0 0 ... 0 0 0]
3231,3231,CHEMBL1199945,3.4,COCC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(N)c(c3)c4oc5ccccc5n4,1,[0 0 0 ... 0 0 0]
2104,2104,CHEMBL1350030,1.71,OC1(C(=O)Nc2ccccc12)c3ccccc3,1,[0 0 0 ... 0 0 0]
3240,3240,CHEMBL2158780,2.53,Cc1cc(Cl)ccc1OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2,1,[0 1 0 ... 0 0 0]
531,531,CHEMBL472455,3.09,COc1ccc(N(C(C(=O)NC2CCCC2)c3ccccc3F)C(=O)c4occc4)c(OC)c1,1,[0 1 0 ... 0 0 0]
4145,4145,CHEMBL1527495,1.7,O=S(=O)(Nc1cccc2[nH]ncc12)c3cccs3,1,[0 0 0 ... 0 0 0]
3964,3964,CHEMBL517712,-0.66,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,0,[0 1 0 ... 0 0 0]
3081,3081,CHEMBL1352372,2.08,Nc1nc2OC(COc3ccccc3)Cc2c(N)c1C#N,1,[0 0 0 ... 0 0 0]
4147,4147,CHEMBL452273,0.87,COCCNCc1ccc(cc1)c2cc(C(=O)N)c(NC(=O)N)s2,1,[0 0 0 ... 0 0 0]
3768,3768,CHEMBL457393,3.14,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cn4,1,[0 1 0 ... 0 0 0]
883,883,CHEMBL324343,1.14,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)Cc3ccccc3C(=O)O)C(=O)C(F)(F)F,1,[0 1 0 ... 0 0 0]
3551,3551,CHEMBL2316381,4.2,FC(F)(F)CCS(=O)(=O)Oc1ccc(NC(=O)c2ccc(Cn3ccnn3)c4ccccc24)c(n1)C(=O)NCC5CCOCC5,1,[0 0 0 ... 0 0 0]
2358,2358,CHEMBL100913,0.95,Oc1ccc(cc1)c2ccc(cc2)C3(O)CN4CCC3CC4,1,[0 0 0 ... 0 0 0]
2100,2100,CHEMBL1774099,2.5,COc1ccccc1N2CCN(CC3=C(Br)C(=O)N(N3C)c4ccccc4)CC2,1,[0 0 0 ... 0 0 0]
1493,1493,CHEMBL2334381,3.3,CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC3Cc4ccccc4C3,1,[0 1 0 ... 0 0 0]
2137,2137,CHEMBL187673,3.3,Oc1ccc(cc1)c2oc3cc(O)ccc3n2,1,[0 0 0 ... 0 0 0]
2345,2345,CHEMBL198150,1.73,CCN(C1CCN(CCC(c2ccccc2)c3ccc(cc3)S(=O)(=O)C)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,1,[0 1 0 ... 0 0 0]
3969,3969,CHEMBL2158783,3.15,Cc1c(Cl)ccc(OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2)c1Cl,1,[0 1 0 ... 0 0 0]
1759,1759,CHEMBL2011920,2.5,CNc1c(Br)cnc2[nH]c(nc12)c3cnn(c3)C4CCN(C)CC4,1,[0 0 0 ... 0 0 0]
1739,1739,CHEMBL95,0.38,Nc1c2CCCCc2nc3ccccc13,1,[0 0 0 ... 0 0 0]
3256,3256,CHEMBL1956129,2.4,C[C@@](CCc1ccc(cc1)c2ccc(Cl)cc2)(C(=O)NO)S(=O)(=O)C,1,[0 0 1 ... 0 0 0]
2404,2404,CHEMBL1389370,3.3,CCN(CC)CCNc1ncnc2c1sc3nc(N4CCOCC4)c5CCCCc5c23,1,[0 0 0 ... 0 0 0]
2224,2224,CHEMBL2005730,3.2,COC(=O)c1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,1,[0 0 0 ... 0 0 0]
3524,3524,CHEMBL1764,2.99,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,1,[0 1 0 ... 0 0 0]
496,496,CHEMBL898,0.59,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,1,[0 0 0 ... 0 0 0]
1077,1077,CHEMBL2059867,2.97,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4c[nH]c(C)n4,1,[0 0 0 ... 0 0 0]
2062,2062,CHEMBL1809199,3.2,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4c(C)cccn34)N5CCN(CC5)C(=O)C,1,[0 0 0 ... 0 0 0]
2368,2368,CHEMBL2062578,3.09,OCc1ccc2ccn(c3cc(NC4CC4)n5ncc(C#N)c5n3)c2c1,1,[0 0 0 ... 0 0 0]
3985,3985,CHEMBL1223459,2.72,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4cccnc4,1,[0 0 0 ... 0 0 0]
142,142,CHEMBL2059861,2.83,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4nccn4C,1,[0 0 0 ... 0 0 0]
638,638,CHEMBL2207657,3.0,Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4c(F)cccc34)CC2,1,[0 1 0 ... 0 0 0]
2826,2826,CHEMBL178457,2.67,CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccc5OCOc5c4,1,[0 1 0 ... 0 0 0]
1965,1965,CHEMBL2206790,3.6,COCC[C@H](Oc1ncnc2c1cnn2c3ccccc3Cl)C(=O)Nc4ccc(C)cn4,1,[0 1 0 ... 0 0 0]
2025,2025,CHEMBL190458,-0.3,CC1=C(CCC(=O)O)C(=O)Oc2c(C)c(O)ccc12,1,[0 0 0 ... 0 0 0]
2434,2434,CHEMBL267744,-0.84,OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,0,[0 0 0 ... 0 0 0]
304,304,CHEMBL216981,2.32,CC[C@@H](NC1=C(Nc2cccc(C(=O)N(C)C)c2O)C(=O)C1=O)c3oc(C)cc3,1,[0 1 0 ... 0 0 0]
2657,2657,CHEMBL1575581,2.23,Cc1ccc2c(N)c(C#N)sc2n1,1,[0 0 0 ... 0 0 0]
2373,2373,CHEMBL513412,2.04,COc1ccc(N(C(C(=O)NC[C@@H](C)O)c2ccccc2F)C(=O)c3occc3C)c(OC)c1,1,[0 1 0 ... 0 0 0]
2457,2457,CHEMBL1199988,1.85,Nc1ncc(cc1c2oc3ccccc3n2)c4cnn(c4)C5CCNCC5,1,[0 0 0 ... 0 0 0]
2459,2459,CHEMBL398894,2.6,NS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,1,[0 0 0 ... 0 0 0]
3719,3719,CHEMBL1950853,1.47,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2cccc(OC)c2)C1)C(C)(C)C,1,[0 1 0 ... 0 0 0]
1789,1789,CHEMBL379082,2.37,CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cccc(Cl)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,1,[0 1 0 ... 0 0 0]
3584,3584,CHEMBL474830,2.0,CC(C)CNc1nc(nc(N2CC(O)C2)c1N)C#N,1,[0 1 0 ... 0 0 0]
2151,2151,CHEMBL2207666,3.42,O[C@H](CNC(=O)C1=CNC(=O)c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,[0 1 0 ... 0 0 0]
526,526,CHEMBL417727,2.23,Nc1ccc2c3ccccc3C(=O)C(=O)c2c1,1,[0 1 0 ... 0 0 0]
3840,3840,CHEMBL1726,3.59,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OCC(C)C)C,1,[1 1 0 ... 0 0 0]
2905,2905,CHEMBL1346,2.79,NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5,1,[0 0 0 ... 0 0 0]
491,491,CHEMBL2164377,3.9,FC(F)(F)Oc1ccc(CNC(=O)C2N(CC3CC(F)(F)C3)C(=O)c4ccccc24)cc1,1,[0 0 0 ... 0 0 0]
2592,2592,CHEMBL1214827,2.5,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,1,[0 1 0 ... 0 0 0]
1643,1643,CHEMBL1950858,0.77,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(O)cc2)C1)C(C)(C)C,1,[0 1 0 ... 0 0 0]
1547,1547,CHEMBL246746,2.44,Clc1ccc2[nH]ncc2c1,1,[0 0 0 ... 0 0 0]
3065,3065,CHEMBL184012,3.47,Cc1ccc(NC(=O)c2ccnc(c2)N3CCOCC3)cc1NC(=O)c4ccc(OCc5ccccn5)cc4,1,[0 0 0 ... 0 0 0]
2487,2487,CHEMBL388525,3.39,Oc1cc(O)c2C(=O)c3ccccc3Oc2c1,1,[0 0 0 ... 0 0 0]
1277,1277,CHEMBL2208422,3.42,O[C@H](CNS(=O)(=O)c1cccc(c1)C#N)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,[0 1 0 ... 0 0 0]
3811,3811,CHEMBL1201256,0.74,COc1cc(cc(OC)c1OC)C(=O)NCc2ccc(OCCN(C)C)cc2,1,[0 0 0 ... 0 0 0]
3176,3176,CHEMBL1994944,1.61,Cn1ncc2C(=O)NC(=Nc12)c3ccccc3,1,[0 0 0 ... 0 0 0]
2294,2294,CHEMBL521815,1.03,CN1CCN(CC1)C(=O)c2cc(CC3=NNC(=O)c4ccccc34)ccc2F,1,[1 0 0 ... 0 0 0]
629,629,CHEMBL132293,1.09,OC[C@H](O)C(=O)N1CCC(=CC1)c2ccc(cc2F)N3C[C@H](COc4ccon4)OC3=O,1,[0 1 0 ... 0 0 0]
872,872,CHEMBL2336331,3.75,C[C@@H]1CN(C[C@H](C)O1)c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5ccccc5,1,[0 1 0 ... 0 0 0]
2212,2212,CHEMBL429330,2.49,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N2CCCC2,1,[0 1 0 ... 0 0 0]
2918,2918,CHEMBL1441,1.52,CCc1cc(ccn1)C(=S)N,1,[0 0 0 ... 0 0 0]
2689,2689,CHEMBL420055,0.9,COc1cc(ccc1Cn2cnc3ccc(NC(=O)CC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5,1,[0 0 0 ... 0 0 0]
3174,3174,CHEMBL831,3.24,CN1CCN(CC1)C2=Nc3ccccc3Oc4ccc(Cl)cc24,1,[0 0 0 ... 0 0 0]
2033,2033,CHEMBL1779503,0.74,Clc1ccc(cc1C(=O)NCCc2ccccc2)N3N=CC(=O)NC3=O,1,[0 0 0 ... 0 0 0]
195,195,CHEMBL139347,2.4,Nc1nc(N)nc(n1)c2cccc(c2)C(F)(F)F,1,[0 0 0 ... 0 0 0]
1427,1427,CHEMBL2031556,-0.05,O=C(Nc1cccc(c1)c2nnn[nH]2)c3cccc4[nH]cnc34,1,[0 0 0 ... 0 0 0]
4047,4047,CHEMBL2030963,0.57,CNc1cccc(CCCc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)n1,1,[0 1 0 ... 0 0 0]
3119,3119,CHEMBL2089279,0.4,C[C@@H]1N[S@@](=O)(=NC1=O)c2cccc(c2)c3cccc(c3)C#N,1,[0 0 0 ... 0 0 0]
3489,3489,CHEMBL560739,3.56,CO[C@H]1CN(CCCOc2ccc(F)cc2)CC[C@H]1NC(=O)c3cc(Cl)c(N)cc3OC,1,[0 0 0 ... 0 0 0]
1983,1983,CHEMBL2036590,2.9,Fc1ccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)cc1F,1,[0 0 0 ... 0 0 0]
1888,1888,CHEMBL113725,0.35,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)Cc3ccc(cc3)C(=O)O)C(=O)C(F)(F)F,1,[0 1 0 ... 0 0 0]
692,692,CHEMBL331019,3.6,O=C(CSc1ccncc1)Nc2ccc(cc2)C(=O)c3ccccc3,1,[0 0 0 ... 0 0 0]
569,569,CHEMBL1762539,2.61,CN(c1ccnc(Nc2cc(cc(c2)N3CCN(C)CC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,[0 0 0 ... 0 0 0]
463,463,CHEMBL107920,3.84,Fc1cc(F)cc(c1)c2cc(on2)N(CCCN3CCCCCC3)Cc4ccc5OCOc5c4,1,[0 0 1 ... 0 0 0]
3807,3807,CHEMBL2031225,3.08,COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)N3C=Nc4ccc(cc4C3=O)N5CCN(C)CC5,1,[0 0 0 ... 0 0 0]
4037,4037,CHEMBL1682829,3.3,CN1CCOc2cc(OC(=O)c3ccccc3)cnc12,1,[0 0 0 ... 0 0 0]
3869,3869,CHEMBL179043,1.0,O=C1C=C(N=C2C=CC=CN12)N3CCOCC3,1,[0 0 0 ... 0 0 0]
1128,1128,CHEMBL430381,3.11,OCC(CO)Nc1nc(SCc2cccc(F)c2F)nc3nc(NC4CC4)sc13,1,[0 1 0 ... 0 0 0]
485,485,CHEMBL1834385,2.0,Nc1nccc(n1)c2ccccc2,1,[0 0 0 ... 0 0 0]
1104,1104,CHEMBL322019,3.2,CN(C)CC(O)COc1ccc(Nc2nccc(n2)N(CC#C)c3cc(Cl)ccc3Cl)cc1,1,[0 1 0 ... 0 0 0]
1457,1457,CHEMBL1916284,2.35,C[C@H](NC(=O)c1c(NS(=O)(=O)c2ccc(C)cc2)n(nc1C(F)(F)F)c3ccccc3)C(C)(C)C,1,[0 1 0 ... 0 0 0]
2669,2669,CHEMBL954,4.09,CCN(CC)CCOc1ccc(cc1)\C(=C(\Cl)/c2ccccc2)\c3ccccc3,1,[0 0 0 ... 0 0 0]
2390,2390,CHEMBL2164748,0.9,COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4cc5OCCOc5cn4)[C@H](O)C3)c2c1,1,[0 0 0 ... 0 0 0]
3388,3388,CHEMBL81324,1.94,Clc1ccc(cc1)C(N2CCNCC2)c3ccccc3,1,[0 1 0 ... 0 0 0]
2281,2281,CHEMBL380936,3.69,Nc1nc(NCc2ccccc2)nc3c1nc(O)n3Cc4ccccc4,1,[0 0 0 ... 0 0 0]
2401,2401,CHEMBL123846,3.0,CCCc1c(O)c(ccc1OCCCOc2ccc3C(=O)C=C(Oc3c2CCC)C(=O)O)C(=O)C,1,[0 0 0 ... 0 0 0]
905,905,CHEMBL443684,0.64,CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,1,[0 1 0 ... 0 0 0]
867,867,CHEMBL1940279,3.88,O[C@]1(CN2CCC1CC2)C#Cc3ccc(Oc4ccc(cc4)C(=O)NCc5ccnc6ccccc56)cc3,1,[0 0 0 ... 0 0 0]
33,33,CHEMBL2208428,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,[0 1 0 ... 0 0 0]
678,678,CHEMBL1302214,0.98,Nc1ccc(cc1)S(=O)(=O)N2CCCC2,1,[0 0 0 ... 0 0 0]
3988,3988,CHEMBL2012881,2.19,OCC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccc[nH]4,1,[0 0 0 ... 0 0 0]
410,410,CHEMBL11,2.49,CN(C)CCCN1c2ccccc2CCc3ccccc13,1,[0 0 0 ... 0 0 0]
1239,1239,CHEMBL2030446,2.38,C[C@H]1COCCN1c2cc(CS(=O)(=O)C)nc(n2)c3ccc4[nH]ccc4c3,1,[0 0 0 ... 0 0 0]
3668,3668,CHEMBL1829257,0.02,CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4cscn4,1,[0 1 0 ... 0 0 0]
2039,2039,CHEMBL94191,3.04,COc1cc2ncnc(Nc3ccccc3)c2cc1OC,1,[0 0 0 ... 0 0 0]
1887,1887,CHEMBL1779018,2.9,CCCC(=O)NCc1cncc(c1)c2ccc(F)cc2OC,1,[0 0 0 ... 0 0 0]
776,776,CHEMBL404108,1.02,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,1,[0 0 0 ... 0 0 0]
1334,1334,CHEMBL218573,3.15,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2C(=O)N4C[C@H](O)CO4,1,[0 1 0 ... 0 0 0]
3010,3010,CHEMBL487066,3.06,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)NC4CC4)n2,1,[0 1 0 ... 0 0 0]
3662,3662,CHEMBL2179287,3.04,CC1=CN(C2CCCN(Cc3cccc(Oc4ccccc4)c3)C2)C(=O)NC1=O,1,[0 0 0 ... 0 0 0]
3263,3263,CHEMBL2364611,1.71,Cc1cccc(n1)c2nn3CCCc3c2c4ccnc5ccc(cc45)C(=O)N,1,[0 0 0 ... 0 0 0]
4049,4049,CHEMBL1689111,0.33,OC(=O)COc1ccc(Cl)cc1CN2CCN(CC2)S(=O)(=O)Cc3ccccc3,1,[0 0 0 ... 0 0 0]
528,528,CHEMBL514690,2.88,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,1,[0 1 0 ... 0 0 0]
1511,1511,CHEMBL1223526,3.29,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccc[nH]4,1,[0 0 0 ... 0 0 0]
1525,1525,CHEMBL606371,0.49,Cc1cc(C)c(C(=O)N[C@@H](Cc2ccc(OCCCNc3ccccn3)cc2)C(=O)O)c(C)c1,1,[0 1 0 ... 0 0 0]
3897,3897,CHEMBL2001019,1.7,OCCn1cc(cn1)c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2,1,[0 0 0 ... 0 0 0]
1774,1774,CHEMBL1917423,2.0,Cc1c(Sc2ccc(Cl)cc2)c3cccc(Cl)c3n1CC(=O)O,1,[0 0 0 ... 0 0 0]
3935,3935,CHEMBL1502567,2.1,O=C1N2C=CC=CC2=Nc3ccccc13,1,[0 0 0 ... 0 0 0]
2628,2628,CHEMBL1809207,3.1,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4cc(CO)ccn34)N5CCN(CC5)C(=O)C,1,[0 0 0 ... 0 0 0]
1831,1831,CHEMBL1682832,2.5,COC(=O)N1CCOc2cc(COc3ccccc3)cnc12,1,[0 0 0 ... 0 0 0]
4089,4089,CHEMBL334492,1.02,Clc1cc(Cl)c2c3C(=O)NNC(=O)c3[nH]c2c1,1,[0 0 0 ... 0 0 0]
1262,1262,CHEMBL1455292,0.8,CCCCN1Cc2c(O)n3nc(cc3nc2C1=O)c4occc4,1,[0 0 0 ... 0 0 0]
