result_file,dataset,split_id,split_method,metric,score,model
tox21-random-validate-pred.csv,tox21,validate,random,accuracy_score,0.8982706002034588,Chemprop
bace-cluster-train-pred.csv,bace,train,cluster,balanced_accuracy_score,0.9198746954403063,Chemprop
bace-cluster-validate-pred.csv,bace,validate,cluster,balanced_accuracy_score,0.5826651781183396,Chemprop
bace-random-train-pred.csv,bace,train,random,balanced_accuracy_score,0.981974027385351,Chemprop
bace-random-validate-pred.csv,bace,validate,random,balanced_accuracy_score,0.791892379920549,Chemprop
clintox-cluster-train-pred.csv,clintox,train,cluster,balanced_accuracy_score,0.9246651785714286,Chemprop
clintox-cluster-validate-pred.csv,clintox,validate,cluster,balanced_accuracy_score,0.5,Chemprop
clintox-random-train-pred.csv,clintox,train,random,balanced_accuracy_score,0.9388354700854701,Chemprop
clintox-random-validate-pred.csv,clintox,validate,random,balanced_accuracy_score,0.6641355140186915,Chemprop
HIV-cluster-train-pred.csv,HIV,train,cluster,balanced_accuracy_score,0.777729325598846,Chemprop
HIV-cluster-validate-pred.csv,HIV,validate,cluster,balanced_accuracy_score,0.6299146394137499,Chemprop
HIV-random-train-pred.csv,HIV,train,random,balanced_accuracy_score,0.9541392623260654,Chemprop
HIV-random-validate-pred.csv,HIV,validate,random,balanced_accuracy_score,0.6943749085053433,Chemprop
lipophilicity-cluster-train-pred.csv,lipophilicity,train,cluster,balanced_accuracy_score,0.954628009585029,Chemprop
lipophilicity-cluster-validate-pred.csv,lipophilicity,validate,cluster,balanced_accuracy_score,0.5,Chemprop
lipophilicity-random-train-pred.csv,lipophilicity,train,random,balanced_accuracy_score,0.9715447154471545,Chemprop
lipophilicity-random-validate-pred.csv,lipophilicity,validate,random,balanced_accuracy_score,0.5413427033492823,Chemprop
sol_del-cluster-train-pred.csv,sol_del,train,cluster,balanced_accuracy_score,0.9959603363156919,Chemprop
sol_del-cluster-validate-pred.csv,sol_del,validate,cluster,balanced_accuracy_score,0.7205128205128205,Chemprop
sol_del-random-train-pred.csv,sol_del,train,random,balanced_accuracy_score,0.9948686721065239,Chemprop
sol_del-random-validate-pred.csv,sol_del,validate,random,balanced_accuracy_score,0.7198822463768115,Chemprop
tox21-cluster-train-pred.csv,tox21,train,cluster,balanced_accuracy_score,0.8777813923649529,Chemprop
tox21-cluster-validate-pred.csv,tox21,validate,cluster,balanced_accuracy_score,0.6487084414781856,Chemprop
tox21-random-train-pred.csv,tox21,train,random,balanced_accuracy_score,0.7969462570190587,Chemprop
tox21-random-validate-pred.csv,tox21,validate,random,balanced_accuracy_score,0.645045518207283,Chemprop
bace-cluster-train-pred.csv,bace,train,cluster,f1_score,0.9484173505275498,Chemprop
bace-cluster-validate-pred.csv,bace,validate,cluster,f1_score,0.8023255813953488,Chemprop
bace-random-train-pred.csv,bace,train,random,f1_score,0.9907300115874854,Chemprop
bace-random-validate-pred.csv,bace,validate,random,f1_score,0.892966360856269,Chemprop
clintox-cluster-train-pred.csv,clintox,train,cluster,f1_score,0.8823529411764706,Chemprop
clintox-cluster-validate-pred.csv,clintox,validate,cluster,f1_score,0.0,Chemprop
clintox-random-train-pred.csv,clintox,train,random,f1_score,0.9019607843137256,Chemprop
clintox-random-validate-pred.csv,clintox,validate,random,f1_score,0.2857142857142857,Chemprop
HIV-cluster-train-pred.csv,HIV,train,cluster,f1_score,0.6929779600205023,Chemprop
HIV-cluster-validate-pred.csv,HIV,validate,cluster,f1_score,0.37770897832817335,Chemprop
HIV-random-train-pred.csv,HIV,train,random,f1_score,0.9383241173968525,Chemprop
HIV-random-validate-pred.csv,HIV,validate,random,f1_score,0.5027624309392266,Chemprop
lipophilicity-cluster-train-pred.csv,lipophilicity,train,cluster,f1_score,0.9981173062997827,Chemprop
lipophilicity-cluster-validate-pred.csv,lipophilicity,validate,cluster,f1_score,0.9814066289409862,Chemprop
lipophilicity-random-train-pred.csv,lipophilicity,train,random,f1_score,0.9989856542530069,Chemprop
lipophilicity-random-validate-pred.csv,lipophilicity,validate,random,f1_score,0.9796913078797725,Chemprop
sol_del-cluster-train-pred.csv,sol_del,train,cluster,f1_score,0.9931506849315068,Chemprop
sol_del-cluster-validate-pred.csv,sol_del,validate,cluster,f1_score,0.59375,Chemprop
sol_del-random-train-pred.csv,sol_del,train,random,f1_score,0.987012987012987,Chemprop
sol_del-random-validate-pred.csv,sol_del,validate,random,f1_score,0.5882352941176471,Chemprop
tox21-cluster-train-pred.csv,tox21,train,cluster,f1_score,0.8392226148409895,Chemprop
tox21-cluster-validate-pred.csv,tox21,validate,cluster,f1_score,0.41568627450980394,Chemprop
tox21-random-train-pred.csv,tox21,train,random,f1_score,0.7305164319248827,Chemprop
tox21-random-validate-pred.csv,tox21,validate,random,f1_score,0.42528735632183906,Chemprop
bace-cluster-train-pred.csv,bace,train,cluster,roc_auc_score,0.9810624113095398,Chemprop
bace-cluster-validate-pred.csv,bace,validate,cluster,roc_auc_score,0.7553029534152035,Chemprop
bace-random-train-pred.csv,bace,train,random,roc_auc_score,0.9990083677461422,Chemprop
bace-random-validate-pred.csv,bace,validate,random,roc_auc_score,0.9292163235825207,Chemprop
clintox-cluster-train-pred.csv,clintox,train,cluster,roc_auc_score,0.9973131613756614,Chemprop
clintox-cluster-validate-pred.csv,clintox,validate,cluster,roc_auc_score,0.5967957276368492,Chemprop
clintox-random-train-pred.csv,clintox,train,random,roc_auc_score,0.998092781784188,Chemprop
clintox-random-validate-pred.csv,clintox,validate,random,roc_auc_score,0.8230140186915887,Chemprop
HIV-cluster-train-pred.csv,HIV,train,cluster,roc_auc_score,0.9920791172140309,Chemprop
HIV-cluster-validate-pred.csv,HIV,validate,cluster,roc_auc_score,0.7828729767125193,Chemprop
HIV-random-train-pred.csv,HIV,train,random,roc_auc_score,0.9990605517436558,Chemprop
HIV-random-validate-pred.csv,HIV,validate,random,roc_auc_score,0.8214734299516909,Chemprop
lipophilicity-cluster-train-pred.csv,lipophilicity,train,cluster,roc_auc_score,0.9989801643147845,Chemprop
lipophilicity-cluster-validate-pred.csv,lipophilicity,validate,cluster,roc_auc_score,0.8189241458348256,Chemprop
lipophilicity-random-train-pred.csv,lipophilicity,train,random,roc_auc_score,0.9999787726336794,Chemprop
lipophilicity-random-validate-pred.csv,lipophilicity,validate,random,roc_auc_score,0.8146306818181818,Chemprop
sol_del-cluster-train-pred.csv,sol_del,train,cluster,roc_auc_score,0.9999578762910917,Chemprop
sol_del-cluster-validate-pred.csv,sol_del,validate,cluster,roc_auc_score,0.8546351084812623,Chemprop
sol_del-random-train-pred.csv,sol_del,train,random,roc_auc_score,0.9999756424308854,Chemprop
sol_del-random-validate-pred.csv,sol_del,validate,random,roc_auc_score,0.932518115942029,Chemprop
tox21-cluster-train-pred.csv,tox21,train,cluster,roc_auc_score,0.9854953326372548,Chemprop
tox21-cluster-validate-pred.csv,tox21,validate,cluster,roc_auc_score,0.8308820500144192,Chemprop
tox21-random-train-pred.csv,tox21,train,random,roc_auc_score,0.9761109925534285,Chemprop
tox21-random-validate-pred.csv,tox21,validate,random,roc_auc_score,0.8698743386243385,Chemprop
bace-cluster-train-pred.csv,bace,train,cluster,log_loss,0.19603599178904257,Chemprop
bace-cluster-validate-pred.csv,bace,validate,cluster,log_loss,0.48468397859475,Chemprop
bace-random-train-pred.csv,bace,train,random,log_loss,0.07216280300015414,Chemprop
bace-random-validate-pred.csv,bace,validate,random,log_loss,0.3512069906345316,Chemprop
clintox-cluster-train-pred.csv,clintox,train,cluster,log_loss,0.04367409940861398,Chemprop
clintox-cluster-validate-pred.csv,clintox,validate,cluster,log_loss,0.2282932857817396,Chemprop
clintox-random-train-pred.csv,clintox,train,random,log_loss,0.03849747275781744,Chemprop
clintox-random-validate-pred.csv,clintox,validate,random,log_loss,0.2469301168486977,Chemprop
HIV-cluster-train-pred.csv,HIV,train,cluster,log_loss,0.051311537702631506,Chemprop
HIV-cluster-validate-pred.csv,HIV,validate,cluster,log_loss,0.12765551088679636,Chemprop
HIV-random-train-pred.csv,HIV,train,random,log_loss,0.02312522114872716,Chemprop
HIV-random-validate-pred.csv,HIV,validate,random,log_loss,0.11485351229868536,Chemprop
lipophilicity-cluster-train-pred.csv,lipophilicity,train,cluster,log_loss,0.02400689520022361,Chemprop
lipophilicity-cluster-validate-pred.csv,lipophilicity,validate,cluster,log_loss,0.15492771540193487,Chemprop
lipophilicity-random-train-pred.csv,lipophilicity,train,random,log_loss,0.010368608301620062,Chemprop
lipophilicity-random-validate-pred.csv,lipophilicity,validate,random,log_loss,0.19983971123713498,Chemprop
sol_del-cluster-train-pred.csv,sol_del,train,cluster,log_loss,0.024664080569258152,Chemprop
sol_del-cluster-validate-pred.csv,sol_del,validate,cluster,log_loss,0.5547830849266028,Chemprop
sol_del-random-train-pred.csv,sol_del,train,random,log_loss,0.03086003160949785,Chemprop
sol_del-random-validate-pred.csv,sol_del,validate,random,log_loss,0.33515462531828377,Chemprop
tox21-cluster-train-pred.csv,tox21,train,cluster,log_loss,0.11633015108296318,Chemprop
tox21-cluster-validate-pred.csv,tox21,validate,cluster,log_loss,0.3403458470018723,Chemprop
tox21-random-train-pred.csv,tox21,train,random,log_loss,0.13470465156697628,Chemprop
tox21-random-validate-pred.csv,tox21,validate,random,log_loss,0.2633280596878985,Chemprop
bace-cluster-train-pred.csv,bace,train,cluster,matthews_corrcoef,0.847388979050434,Chemprop
bace-cluster-validate-pred.csv,bace,validate,cluster,matthews_corrcoef,0.17621877168781763,Chemprop
bace-random-train-pred.csv,bace,train,random,matthews_corrcoef,0.9721168026008825,Chemprop
bace-random-validate-pred.csv,bace,validate,random,matthews_corrcoef,0.6278445923940645,Chemprop
clintox-cluster-train-pred.csv,clintox,train,cluster,matthews_corrcoef,0.8724200925755206,Chemprop
clintox-cluster-validate-pred.csv,clintox,validate,cluster,matthews_corrcoef,0.0,Chemprop
clintox-random-train-pred.csv,clintox,train,random,matthews_corrcoef,0.8935023749000505,Chemprop
clintox-random-validate-pred.csv,clintox,validate,random,matthews_corrcoef,0.26057912185652765,Chemprop
HIV-cluster-train-pred.csv,HIV,train,cluster,matthews_corrcoef,0.7071615977740907,Chemprop
HIV-cluster-validate-pred.csv,HIV,validate,cluster,matthews_corrcoef,0.4039785552496623,Chemprop
HIV-random-train-pred.csv,HIV,train,random,matthews_corrcoef,0.936690715656355,Chemprop
HIV-random-validate-pred.csv,HIV,validate,random,matthews_corrcoef,0.5089719143809379,Chemprop
lipophilicity-cluster-train-pred.csv,lipophilicity,train,cluster,matthews_corrcoef,0.9435410883445225,Chemprop
lipophilicity-cluster-validate-pred.csv,lipophilicity,validate,cluster,matthews_corrcoef,0.0,Chemprop
lipophilicity-random-train-pred.csv,lipophilicity,train,random,matthews_corrcoef,0.9701433564713943,Chemprop
lipophilicity-random-validate-pred.csv,lipophilicity,validate,random,matthews_corrcoef,0.14481013339038556,Chemprop
sol_del-cluster-train-pred.csv,sol_del,train,cluster,matthews_corrcoef,0.9919206726313838,Chemprop
sol_del-cluster-validate-pred.csv,sol_del,validate,cluster,matthews_corrcoef,0.5233793327271588,Chemprop
sol_del-random-train-pred.csv,sol_del,train,random,matthews_corrcoef,0.9845550202663461,Chemprop
sol_del-random-validate-pred.csv,sol_del,validate,random,matthews_corrcoef,0.5455937907445125,Chemprop
tox21-cluster-train-pred.csv,tox21,train,cluster,matthews_corrcoef,0.8264289253936989,Chemprop
tox21-cluster-validate-pred.csv,tox21,validate,cluster,matthews_corrcoef,0.3345474799464859,Chemprop
tox21-random-train-pred.csv,tox21,train,random,matthews_corrcoef,0.7248197587236768,Chemprop
tox21-random-validate-pred.csv,tox21,validate,random,matthews_corrcoef,0.4117269818749514,Chemprop
